seed	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5201	5	0	5000	f2	80	67.0337	-0.16207875000000005	0.16207875000000005	66.0332	67.4339	False	0.017508750000000007	67.37770078462488	-0.15777874019218902	-0.0043000098078110225	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0	5000	f3	200	193.6973	-0.03151349999999994	0.03151349999999994	192.4967	194.6978	False	0.011005499999999984	194.35604960670335	-0.028219751966483245	-0.0032937480335166924	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0.001	5000	f1	20	7.8039	-0.609805	0.609805	7.4037	7.8039	False	0.020009999999999993	8.004020100502514	-0.5997989949748743	-0.010006005025125697	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0.001	5000	f2	80	65.2328	-0.18459000000000003	0.18459000000000003	64.2323	66.2333	False	0.02501250000000006	67.37770078462488	-0.15777874019218902	-0.026811259807811006	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0.001	5000	f3	200	189.8954	-0.050523000000000026	0.050523000000000026	187.6943	191.096	False	0.017008500000000027	194.35604960670335	-0.028219751966483245	-0.02230324803351678	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0.01	5000	f1	20	6.2031	-0.689845	0.689845	5.6028	6.6033	False	0.050024999999999986	8.004020100502514	-0.5997989949748743	-0.09004600502512568	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0.01	5000	f2	80	54.6274	-0.3171575	0.3171575	51.826	56.0281	False	0.05252625000000002	67.37770078462488	-0.15777874019218902	-0.15937875980781097	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	5	0.01	5000	f3	200	157.0789	-0.21460549999999998	0.21460549999999998	154.6777	159.6802	False	0.025012500000000132	194.35604960670335	-0.028219751966483245	-0.18638574803351673	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0	5000	f1	20	21.861	0.09305000000000004	0.09305000000000004	20.8105	21.861	False	0.052524999999999974	21.915105445259083	0.09575527226295417	-0.0027052722629541393	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0	5000	f2	80	72.7866	-0.09016749999999991	0.09016749999999991	71.8361	72.9867	False	0.014382499999999965	73.12356916159746	-0.08595538548003176	-0.004212114519968146	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0	5000	f3	200	194.4477	-0.027761500000000012	0.027761500000000012	193.9474	194.9479	False	0.005002500000000083	195.24366881915518	-0.023781655904224125	-0.003979844095775889	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0.001	5000	f1	20	21.2107	0.060534999999999964	0.060534999999999964	20.3102	21.3607	False	0.052525000000000155	21.915105445259083	0.09575527226295417	-0.03522027226295421	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0.001	5000	f2	80	71.1357	-0.11080375	0.11080375	70.4354	71.4859	False	0.013131249999999994	73.12356916159746	-0.08595538548003176	-0.024848364519968236	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0.001	5000	f3	200	190.2456	-0.04877200000000002	0.04877200000000002	189.6953	191.2961	False	0.008003999999999963	195.24366881915518	-0.023781655904224125	-0.024990344095775895	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0.01	5000	f1	20	17.2587	-0.13706499999999994	0.13706499999999994	16.6083	17.7589	False	0.05753000000000004	21.915105445259083	0.09575527226295417	-0.23282027226295413	diagnostic_kmer_10_90_spread_not_sampling_CI
5201	20	0.01	5000	f2	80	58.8295	-0.26463125	0.26463125	57.679	59.68	False	0.025012499999999972	73.12356916159746	-0.08595538548003176	-0.1786758645199682	diagnostic_kmer_10_90_spread_not_sampling_CI
