seed	condition_id	family_id	estimated_copy_number	log_sampling_variance	sampling_interval_low	sampling_interval_high	minimum_effective_reads	positive_reads_by_k	fit_status	interval_status	warning	coverage	error_model	unit_substitution_rate	array_scope	period	truth_copies	truth_covered	relative_interval_width	signed_relative_error
6301	condition_001	f030	164.61425724869466	NA	NA	NA	3.4083288075741884	4,4,4,4	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	80.0	NA	NA	1.0576782156086832
6301	condition_001	f031	89.18320851730837	NA	NA	NA	1.5972600158164274	9,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	200.0	NA	NA	-0.5540839574134582
6301	condition_001	f032	NA	NA	NA	NA	0.0	3,0,0,0	zero_support_at_one_or_more_k_not_absence	no_finite_extrapolation	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	200.0	NA	NA	NA
6301	condition_001	f033	130.4114427606807	NA	NA	NA	2.116245860859911	6,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	200.0	NA	NA	-0.3479427861965965
6301	condition_001	f034	180.32316356573978	NA	NA	NA	2.7700932646991707	5,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	200.0	NA	NA	-0.09838418217130113
6301	condition_001	f035	266.66680467181914	NA	NA	NA	3.914953367156052	8,5,5,5	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	171	200.0	NA	NA	0.3333340233590957
6301	condition_001	f036	183.86168786587064	NA	NA	NA	2.1618943943669775	3,3,3,3	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	171	200.0	NA	NA	-0.08069156067064683
6301	condition_001	f037	37.60049327119587	NA	NA	NA	1.9918852637500764	4,2,2,2	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	20.0	NA	NA	0.8800246635597937
6301	condition_001	f038	48.33247336439702	NA	NA	NA	3.407134548398329	18,4,4,4	experimental_log_linear_extrapolation	insufficient_effective_reads	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.02	factorial	421	20.0	NA	NA	1.416623668219851
6301	condition_001	f039	NA	NA	NA	NA	0.0	2,0,0,0	zero_support_at_one_or_more_k_not_absence	no_finite_extrapolation	experimental_joint_read_delta_method;k_values_are_correlated_not_replicates;requires_independent_reads;model_bias_not_calibrated;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed	1	error_free	0.0	factorial	421	20.0	NA	NA	NA
