dataset	minimum_count	status	workflow_wall_seconds	external_stage_wall_seconds	maximum_external_stage_peak_rss_mib	memory_method	input_sha256	total_input_bases	k	threads_parameter	temporary_and_output_bytes_after_run	warning	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity	native_catalogue_size	native_motif_lengths	out_of_scope_catalogue_count	out_of_scope_array_count	scoring_scope	truth_arrays_sha256	truth_reads_sha256
at_rich_control_s1101	100	failed	1.7486565841827542	1.7439256666693836	49.296875	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	693adc4ea6868dcee3ae1f06283d876615204968426e030767d688791f553704	500000	151	1	1312547	illustrative_readme_k151_count_preset;library_coverage_not_known;no_default_optimality_claim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control_s1101	20	failed	1.7509274589829147	1.7484972507227212	50.5	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	693adc4ea6868dcee3ae1f06283d876615204968426e030767d688791f553704	500000	151	1	1312543	illustrative_readme_k151_count_preset;library_coverage_not_known;no_default_optimality_claim	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
clean_171_s1101	100	ok	1.9271956658922136	1.915021915687248	48.15625	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	7820f95674140bd99b71986ee0a5f863ac12c8f2ae9ad2ca304e872f843ce375	500000	151	1	1538319	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	50.32142857142857	0.9511347813979393	0.9998097287170593	0.9748650490390207	136647	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	b3ecd48f1f804c172fbe4bdf6c543cd062a76d38bd7da150fc68df019b3bc1cc	1d60c7d1502c73bd3c0bb4b6b97bad883fd310bdad460783195c99fa35de970f
clean_171_s1101	20	ok	1.9436735000927001	1.9339956655167043	45.90625	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	7820f95674140bd99b71986ee0a5f863ac12c8f2ae9ad2ca304e872f843ce375	500000	151	1	1538308	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	50.32142857142857	0.9511347813979393	0.9998097287170593	0.9748650490390207	136647	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	171;171;171	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	b3ecd48f1f804c172fbe4bdf6c543cd062a76d38bd7da150fc68df019b3bc1cc	1d60c7d1502c73bd3c0bb4b6b97bad883fd310bdad460783195c99fa35de970f
clean_421_s1101	100	ok	1.9459367080125958	1.934876749292016	46.703125	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	2eaa9109dc34744f8603ea35082212f33aa2c8d055c38c0a9f21210bf5e07112	500000	151	1	1659165	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	167.56428571428572	0.9005217170003393	0.9999717398369389	0.9476446918247696	212313	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	421;421;421	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	b94d84a30c488c02eef0e2f9ebef372cb495b10a5543af8fa5a336fa513824fa	daf163fe3e4460220e3dcf0b06081a7ef244f304b8053e24a35c136c235ae1e8
clean_421_s1101	20	ok	1.9759710000362247	1.9664579157251865	47.234375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	2eaa9109dc34744f8603ea35082212f33aa2c8d055c38c0a9f21210bf5e07112	500000	151	1	1659154	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	167.56428571428572	0.9005217170003393	0.9999717398369389	0.9476446918247696	212313	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	421;421;421	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	b94d84a30c488c02eef0e2f9ebef372cb495b10a5543af8fa5a336fa513824fa	daf163fe3e4460220e3dcf0b06081a7ef244f304b8053e24a35c136c235ae1e8
clean_60_s1101	100	ok	2.017618249868974	2.005662292474881	50.875	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	dbae9574482222e54196052fb73c5890668439fa4bf7946e20bbb0e34d7dad48	500000	151	1	1637406	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	10.157142857142857	0.988984126984127	0.9997272275083036	0.9943266599107905	124646	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	60;60;60	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	bc7fd1f529d4f3b9bafb66e80937287d46a8180db7bcc0a7d5e3d31b7e274a88	aa82cb5e4c7a41d52a208edfdc16d182d7b9d9f86ea4903b89e25938bccca1f6
clean_60_s1101	20	ok	2.0260429170448333	2.016097166342661	49.984375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	dbae9574482222e54196052fb73c5890668439fa4bf7946e20bbb0e34d7dad48	500000	151	1	1637395	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	10.157142857142857	0.988984126984127	0.9997272275083036	0.9943266599107905	124646	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	60;60;60	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	bc7fd1f529d4f3b9bafb66e80937287d46a8180db7bcc0a7d5e3d31b7e274a88	aa82cb5e4c7a41d52a208edfdc16d182d7b9d9f86ea4903b89e25938bccca1f6
clean_729_s1101	100	ok	1.956609166925773	1.9450941237155348	47.8125	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	e0a9f5a721b569f17137bf77b53126f7b141c0a145611c5659bff79c1fcbfad0	500000	151	1	1823744	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	309.74285714285713	0.858374158991443	0.9999961950855725	0.9237888358131312	262818	306180	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	729;729;729	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	43b172b613895ff7aa741f72783b5307744ef5140b6fc68a647711941c77677c	c3d1265eb2bb598d747c6d9f57d20f4a2340b915fae0411283acbdf12024688c
clean_729_s1101	20	ok	1.9574255000334233	1.9468185431323946	50.375	max direct-child wait4 RSS across sequential native stages; benchmark controller excluded	e0a9f5a721b569f17137bf77b53126f7b141c0a145611c5659bff79c1fcbfad0	500000	151	1	1823735	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	309.74285714285713	0.858374158991443	0.9999961950855725	0.9237888358131312	262818	306180	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	1.0	3	1.0	0	1.0	3	729;729;729	0	0	period_30_1000_span_ge_100;native_keep_flag_positive;HORs_not_decomposed	43b172b613895ff7aa741f72783b5307744ef5140b6fc68a647711941c77677c	c3d1265eb2bb598d747c6d9f57d20f4a2340b915fae0411283acbdf12024688c
