seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5401	0.01	3	500	5	0.001	5000	f1	20	6.4032	-0.67984	0.67984	4.8024	7.0035	False	0.11005500000000001	7.8694676188930375	-0.6065266190553482	-0.07331338094465187	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0.001	5000	f2	80	63.4314	-0.20710750000000006	0.20710750000000006	57.4284	67.4334	False	0.12506250000000002	79.5551537258989	-0.005560578426263696	-0.20154692157373635	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0.001	5000	f3	200	159.0787	-0.20460650000000002	0.20460650000000002	152.6755	164.0812	False	0.05702849999999998	197.18592954069754	-0.014070352296512283	-0.19053614770348773	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0.01	5000	f1	20	5.4027	-0.729865	0.729865	4.002	6.003	False	0.10005000000000001	7.8694676188930375	-0.6065266190553482	-0.12333838094465185	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0.01	5000	f2	80	52.626	-0.342175	0.342175	47.4235	55.8276	False	0.10505125	79.5551537258989	-0.005560578426263696	-0.33661442157373633	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	5	0.01	5000	f3	200	131.465	-0.342675	0.342675	125.6622	136.6676	False	0.05502699999999997	197.18592954069754	-0.014070352296512283	-0.3286046477034877	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0	5000	f1	20	15.5077	-0.224615	0.224615	11.8559	16.4081	False	0.22761000000000003	18.397627820159066	-0.0801186089920467	-0.1444963910079533	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0	5000	f2	80	61.5805	-0.23024375	0.23024375	54.9272	64.4819	False	0.11943374999999996	75.22611111111111	-0.059673611111111136	-0.17057013888888886	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0	5000	f3	200	169.9841	-0.15007949999999995	0.15007949999999995	162.3303	176.3873	False	0.07028500000000008	207.13039880294443	0.03565199401472213	-0.18573149401472208	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0.001	5000	f1	20	15.1075	-0.244625	0.244625	11.6057	16.108	False	0.225115	18.397627820159066	-0.0801186089920467	-0.1645063910079533	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0.001	5000	f2	80	60.4799	-0.24400125	0.24400125	53.8266	63.0312	False	0.1150575	75.22611111111111	-0.059673611111111136	-0.18432763888888887	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0.001	5000	f3	200	166.5324	-0.16733800000000001	0.16733800000000001	158.9286	172.7355	False	0.06903450000000007	207.13039880294443	0.03565199401472213	-0.20298999401472215	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0.01	5000	f1	20	12.6062	-0.36969	0.36969	9.5547	13.4066	False	0.19259499999999993	18.397627820159066	-0.0801186089920467	-0.2895713910079533	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0.01	5000	f2	80	50.1248	-0.37344	0.37344	44.2719	52.626	False	0.10442624999999994	75.22611111111111	-0.059673611111111136	-0.31376638888888886	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.01	3	500	20	0.01	5000	f3	200	137.2179	-0.3139105000000001	0.3139105000000001	131.5151	142.9707	False	0.05727800000000002	207.13039880294443	0.03565199401472213	-0.3495624940147222	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0	5000	f2	80	32.8515	-0.58935625	0.58935625	29.865	36.8335	False	0.08710625000000002	67.49024269005847	-0.15637196637426917	-0.4329842836257308	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0	5000	f3	200	101.541	-0.49229500000000004	0.49229500000000004	87.604	114.4825	False	0.13439250000000003	192.9260083135392	-0.035369958432304005	-0.45692504156769603	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0.001	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0.001	5000	f2	80	31.856	-0.6018	0.6018	27.874	36.8335	False	0.11199375000000003	67.49024269005847	-0.15637196637426917	-0.4454280336257308	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0.001	5000	f3	200	98.5545	-0.5072274999999999	0.5072274999999999	86.6085	112.4915	False	0.12941499999999997	192.9260083135392	-0.035369958432304005	-0.471857541567696	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0.01	5000	f1	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0.01	5000	f2	80	26.8785	-0.66401875	0.66401875	22.8965	29.865	False	0.08710624999999998	67.49024269005847	-0.15637196637426917	-0.5076467836257308	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	1	0.01	5000	f3	200	83.622	-0.58189	0.58189	71.676	94.5725	False	0.11448250000000001	192.9260083135392	-0.035369958432304005	-0.546520041567696	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0	5000	f1	20	3.4017	-0.8299150000000001	0.8299150000000001	2.4012	4.6023	False	0.11005499999999999	6.163751544608287	-0.6918124227695857	-0.13810257723041436	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0	5000	f2	80	39.6199	-0.50475125	0.50475125	34.0171	45.0226	False	0.13756874999999996	79.50894002174616	-0.006138249728173051	-0.4986130002718269	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0	5000	f3	200	104.8527	-0.4757365	0.4757365	96.2483	112.8567	False	0.08304200000000002	198.78155026916053	-0.006092248654197334	-0.4696442513458027	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0.001	5000	f1	20	3.4017	-0.8299150000000001	0.8299150000000001	2.2011	4.6023	False	0.12005999999999999	6.163751544608287	-0.6918124227695857	-0.13810257723041436	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0.001	5000	f2	80	38.8195	-0.51475625	0.51475625	32.6164	44.0221	False	0.14257125000000004	79.50894002174616	-0.006138249728173051	-0.508618000271827	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0.001	5000	f3	200	102.6516	-0.486742	0.486742	94.0472	111.0558	False	0.08504300000000001	198.78155026916053	-0.006092248654197334	-0.4806497513458027	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0.01	5000	f1	20	3.0015	-0.849925	0.849925	2.001	4.002	False	0.10005	6.163751544608287	-0.6918124227695857	-0.15811257723041433	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0.01	5000	f2	80	31.6159	-0.6048012500000001	0.6048012500000001	27.4138	35.2177	False	0.09754875000000003	79.50894002174616	-0.006138249728173051	-0.598663000271827	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	5	0.01	5000	f3	200	85.8431	-0.5707844999999999	0.5707844999999999	78.8396	92.6465	False	0.0690345	198.78155026916053	-0.006092248654197334	-0.5646922513458026	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0	5000	f1	20	9.955	-0.50225	0.50225	7.4537	12.8064	False	0.26763499999999996	17.202082543866876	-0.13989587280665622	-0.3623541271933438	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0	5000	f2	80	34.6174	-0.5672824999999999	0.5672824999999999	29.915	38.4193	False	0.10630375	68.59995209967968	-0.14250059875400395	-0.424781901245996	diagnostic_kmer_10_90_spread_not_sampling_CI
5401	0.03	1	500	20	0	5000	f3	200	109.555	-0.452225	0.452225	100.5005	117.409	False	0.08454250000000002	207.49827987920602	0.03749139939603012	-0.48971639939603007	diagnostic_kmer_10_90_spread_not_sampling_CI
