unit_substitution_rate	array_fragments	coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
0.03	3	20	0	9	-0.4977237222222222	0.487245	0.4977237222222222	0	0.1525050277777778	-0.030733525715787094	-0.46699019650643514
0.03	3	20	0.001	9	-0.5085768055555556	0.49225	0.5085768055555556	0	0.14836469444444444	-0.030733525715787094	-0.4778432798397685
0.03	3	20	0.01	9	-0.589658	0.573539	0.589658	0	0.1270491111111111	-0.030733525715787094	-0.5589244742842129
0.05	1	1	0	9	-0.8155559722222222	0.83823125	0.8155559722222222	0	0.08185222222222222	-0.42992713295952123	-0.38562883926270103
0.05	1	1	0.001	9	-0.8197038888888889	0.83823125	0.8197038888888889	0	0.08074611111111112	-0.42992713295952123	-0.38977675592936767
0.05	1	1	0.01	9	-0.8479097222222222	0.8631187499999999	0.8479097222222222	0	0.07521555555555555	-0.42992713295952123	-0.41798258926270104
0.05	1	5	0	9	-0.7190810833333333	0.6648314999999999	0.7190810833333333	0	0.11261194444444446	-0.14493675263307496	-0.5741443307002584
0.05	1	5	0.001	9	-0.7266404166666667	0.6718350000000001	0.7266404166666667	0	0.11088886111111111	-0.14493675263307496	-0.5817036640335917
0.05	1	5	0.01	9	-0.7700511666666666	0.7278635	0.7700511666666666	0	0.09465900000000001	-0.14493675263307496	-0.6251144140335917
0.05	1	20	0	9	-0.6746977777777778	0.6625805	0.6746977777777778	0	0.13955669444444443	-0.020982907683482394	-0.6537148700942954
0.05	1	20	0.001	9	-0.6818817222222222	0.6688335000000001	0.6818817222222222	0	0.13751344444444444	-0.020982907683482394	-0.6608988145387398
0.05	1	20	0.01	9	-0.7358673611111111	0.725112	0.7358673611111111	0	0.11591925	-0.020982907683482394	-0.7148844534276287
0.05	3	1	0	9	-0.820074861111111	0.83579375	0.820074861111111	0	0.07634888888888888	-0.453197564346392	-0.3668772967647191
0.05	3	1	0.001	9	-0.8242852777777778	0.83579375	0.8242852777777778	0	0.07662958333333333	-0.453197564346392	-0.37108771343138575
0.05	3	1	0.01	9	-0.8540388888888889	0.8610562500000001	0.8540388888888889	0	0.07466472222222223	-0.453197564346392	-0.4008413245424969
0.05	3	5	0	9	-0.7114678333333333	0.6738385	0.7114678333333333	0	0.12094875000000001	-0.12245216666470779	-0.5890156666686256
0.05	3	5	0.001	9	-0.71741525	0.680842	0.71741525	0	0.11933683333333332	-0.12245216666470779	-0.5949630833352922
0.05	3	5	0.01	9	-0.7653836666666667	0.738871	0.7653836666666667	0	0.10605283333333333	-0.12245216666470779	-0.6429315000019589
0.05	3	20	0	9	-0.6774235277777778	0.6625829999999999	0.6774235277777778	0	0.13863744444444445	-0.030733525715787094	-0.6466900020619907
0.05	3	20	0.001	9	-0.6832320555555556	0.6695865000000001	0.6832320555555556	0	0.1357616388888889	-0.030733525715787094	-0.6524985298397684
0.05	3	20	0.01	9	-0.7396073333333334	0.725364	0.7396073333333334	0	0.11455633333333333	-0.030733525715787094	-0.7088738076175463
