seed	unit_substitution_rate	array_fragments	fragment_gap_bp	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5402	0.05	3	500	0.75	f2	10260	0	0	0.0	NA	0	3
5402	0.05	3	500	0.75	f3	63150	0	0	0.0	NA	0	3
5402	0.05	3	500	0.5	f1	610	0	0	0.0	NA	0	3
5402	0.05	3	500	0.5	f2	6840	0	0	0.0	NA	0	3
5402	0.05	3	500	0.5	f3	42100	0	0	0.0	NA	0	3
5402	0.05	3	500	0.25	f1	305	50	49	0.16065573770491803	0.98	1	3
5402	0.05	3	500	0.25	f2	3420	0	0	0.0	NA	0	3
5402	0.05	3	500	0.25	f3	21050	0	0	0.0	NA	0	3
5402	0.05	3	500	0	f1	0	0	0	NA	NA	0	0
5402	0.05	3	500	0	f2	0	0	0	NA	NA	0	0
5402	0.05	3	500	0	f3	0	0	0	NA	NA	0	0
5403	0.01	1	500	1	f1	1220	0	0	0.0	NA	0	1
5403	0.01	1	500	1	f2	13680	10941	10941	0.799780701754386	1.0	2	1
5403	0.01	1	500	1	f3	84200	84143	84143	0.9993230403800475	1.0	2	1
5403	0.01	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5403	0.01	1	500	0.75	f2	10260	3614	3614	0.35224171539961013	1.0	1	1
5403	0.01	1	500	0.75	f3	63150	62811	62811	0.9946318289786223	1.0	1	1
5403	0.01	1	500	0.5	f1	610	0	0	0.0	NA	0	1
5403	0.01	1	500	0.5	f2	6840	4101	4101	0.599561403508772	1.0	2	1
5403	0.01	1	500	0.5	f3	42100	42101	42100	1.0	0.999976247595069	1	1
5403	0.01	1	500	0.25	f1	305	0	0	0.0	NA	0	1
5403	0.01	1	500	0.25	f2	3420	3420	3420	1.0	1.0	1	1
5403	0.01	1	500	0.25	f3	21050	21051	21050	1.0	0.9999524963184647	1	1
5403	0.01	1	500	0	f1	0	0	0	NA	NA	0	0
5403	0.01	1	500	0	f2	0	0	0	NA	NA	0	0
5403	0.01	1	500	0	f3	0	0	0	NA	NA	0	0
5403	0.01	3	500	1	f1	1220	419	418	0.34262295081967215	0.9976133651551312	1	3
5403	0.01	3	500	1	f2	13680	8061	8060	0.5891812865497076	0.9998759459124178	2	3
5403	0.01	3	500	1	f3	84200	84144	84143	0.9993230403800475	0.9999881156113329	4	3
5403	0.01	3	500	0.75	f1	915	0	0	0.0	NA	0	3
5403	0.01	3	500	0.75	f2	10260	4102	4101	0.3997076023391813	0.999756216479766	3	3
5403	0.01	3	500	0.75	f3	63150	41762	41761	0.661298495645289	0.9999760547866482	2	3
5403	0.01	3	500	0.5	f1	610	0	0	0.0	NA	0	3
5403	0.01	3	500	0.5	f2	6840	4081	4080	0.5964912280701754	0.999754962019113	3	3
5403	0.01	3	500	0.5	f3	42100	28208	28207	0.67	0.9999645490640953	2	3
5403	0.01	3	500	0.25	f1	305	62	61	0.2	0.9838709677419355	1	3
5403	0.01	3	500	0.25	f2	3420	2224	2223	0.65	0.9995503597122302	2	3
5403	0.01	3	500	0.25	f3	21050	13894	13893	0.66	0.999928026486253	2	3
5403	0.01	3	500	0	f1	0	0	0	NA	NA	0	0
5403	0.01	3	500	0	f2	0	0	0	NA	NA	0	0
5403	0.01	3	500	0	f3	0	0	0	NA	NA	0	0
5403	0.03	1	500	1	f1	1220	0	0	0.0	NA	0	1
5403	0.03	1	500	1	f2	13680	0	0	0.0	NA	0	1
5403	0.03	1	500	1	f3	84200	248	248	0.0029453681710213775	1.0	1	1
5403	0.03	1	500	0.75	f1	915	0	0	0.0	NA	0	1
5403	0.03	1	500	0.75	f2	10260	0	0	0.0	NA	0	1
5403	0.03	1	500	0.75	f3	63150	248	248	0.003927157561361837	1.0	1	1
5403	0.03	1	500	0.5	f1	610	0	0	0.0	NA	0	1
