run_id	material	tool	read_count	total_bases	input_Gb	runtime_seconds	peak_rss_mib	throughput_Mbp_per_second	runtime_ratio_to_trf	rss_ratio_to_trf	observed_in_scope_calls	observed_call_density_per_Mbp	observed_positive_read_fraction	observed_union_base_fraction
Morex_random_1169Mb_v1_20260906	Morex	tandemx	53715	1169928427	1.169928427	1909.5252394999843	913.890625	0.6126802635540706	0.7926152388210196	3.1935025935025934	72595	62.050804412157426	0.675584101275249	0.036962476508830056
Morex_random_1169Mb_v1_20260906	Morex	trf	53715	1169928427	1.169928427	2409.1452522920445	286.171875	0.48561971341783483	1.0	1.0	92920	79.4236620425328	0.5841385087964256	0.033389152787891015
Morex_random_1169Mb_v1_20260906	Morex	tidehunter	53715	1169928427	1.169928427	566.1962161248084	580.375	2.0662950293226774	0.23501954296285504	2.028064428064428	127539	109.01436109817682	0.6880945732104626	0.04786887104162997
Nipponbare_random_11Mb_v1_20260906	Nipponbare	tandemx	626	11418016	0.011418016	10.910205458058044	106.53125	1.046544544362077	0.656079753169518	0.5295533980582524	808	70.76535888546663	0.6980830670926518	0.028144556812672184
Nipponbare_random_11Mb_v1_20260906	Nipponbare	trf	626	11418016	0.011418016	16.629389042034745	201.171875	0.6866166863459772	1.0	1.0	1003	87.84363237886512	0.6006389776357828	0.025468172404032364
Nipponbare_random_11Mb_v1_20260906	Nipponbare	tidehunter	626	11418016	0.011418016	4.372156375087798	168.234375	2.6115296481752015	0.2629174387607464	0.8362718446601942	979	85.74169102583146	0.6309904153354633	0.03388609719937334
Nipponbare_random_114Mb_v1_20260906	Nipponbare	tandemx	6141	113627173	0.113627173	104.78418533410877	212.75	1.0843923883904332	0.7433743995035093	0.6372443487621098	8353	73.51234550207458	0.6914183357759323	0.03416092205338946
Nipponbare_random_114Mb_v1_20260906	Nipponbare	trf	6141	113627173	0.113627173	140.9574844171293	333.859375	0.8061095405459144	1.0	1.0	10760	94.69565875761073	0.6176518482331868	0.03278678771670224
Nipponbare_random_114Mb_v1_20260906	Nipponbare	tidehunter	6141	113627173	0.113627173	46.330491750035435	450.640625	2.4525354406563813	0.3286841556630767	1.349791734918332	10249	90.19849503780227	0.6585246702491451	0.03977112059278286
Victoria_random_11Mb_v1_20260906	Victoria	tandemx	615	11361028	0.011361028	16.82708033407107	122.96875	0.6751633542151969	0.37395804424051543	0.7417530631479736	779	68.56773876448504	0.5463414634146342	0.09166089547530382
Victoria_random_11Mb_v1_20260906	Victoria	trf	615	11361028	0.011361028	44.99724125000648	165.78125	0.2524827674851814	1.0	1.0	1743	153.41921523298774	0.4959349593495935	0.09139313801532749
Victoria_random_11Mb_v1_20260906	Victoria	tidehunter	615	11361028	0.011361028	11.096758082974702	257.203125	1.0238150561676889	0.24660974261334528	1.5514608859566448	2553	224.7155803154433	0.5951219512195122	0.10029426914536255
Victoria_random_110Mb_v1_20260906	Victoria	tandemx	5972	110202741	0.110202741	164.73829754185863	250.453125	0.6689564153836081	0.4542136340565085	1.4172413793103449	6906	62.6663178913127	0.5311453449430676	0.0823757822865767
