seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5501	0.01	1	500	20	0.001	0.5	f1	0.5	True	607.0	61	19.99	multik_loglinear	17.92763030444592	1093.5854485712011	0.5550549349326674	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.5	f2	0.5	True	6840.0	171	19.99	single_k21	67.4339	11531.196899999999	0.593173463198777	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.5	f2	0.5	True	6840.0	171	19.99	multik_loglinear	84.05112344979187	14372.74210991441	0.4759008369935006	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.5	f3	0.5	True	42101.0	421	19.99	single_k21	164.6327	69310.3667	0.6074271714969877	consistent	False	FN	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.5	f3	0.5	True	42101.0	421	19.99	multik_loglinear	208.82264378205284	87914.33303224425	0.4788866450770736	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.25	f1	0.25	True	306.0	61	19.99	single_k21	14.7074	897.1514	0.34107955468831685	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.25	f1	0.25	True	306.0	61	19.99	multik_loglinear	17.92763030444592	1093.5854485712011	0.27981352568269563	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.25	f2	0.25	True	3420.0	171	19.99	single_k21	67.4339	11531.196899999999	0.2965867315993885	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.25	f2	0.25	True	3420.0	171	19.99	multik_loglinear	84.05112344979187	14372.74210991441	0.2379504184967503	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0.25	f3	0.25	True	21042.0	421	19.99	single_k21	164.6327	69310.3667	0.30359094897127414	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0.25	f3	0.25	True	21042.0	421	19.99	multik_loglinear	208.82264378205284	87914.33303224425	0.2393466375077025	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0	f1	0.0	True	0.0	61	19.99	single_k21	14.7074	897.1514	0.0	reads_only	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0	f1	0.0	True	0.0	61	19.99	multik_loglinear	17.92763030444592	1093.5854485712011	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0	f2	0.0	True	0.0	171	19.99	single_k21	67.4339	11531.196899999999	0.0	reads_only	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0	f2	0.0	True	0.0	171	19.99	multik_loglinear	84.05112344979187	14372.74210991441	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.001	0	f3	0.0	True	0.0	421	19.99	single_k21	164.6327	69310.3667	0.0	reads_only	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.001	0	f3	0.0	True	0.0	421	19.99	multik_loglinear	208.82264378205284	87914.33303224425	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	1	f1	1.0	False	1221.0	61	19.99	single_k21	11.8059	720.1599	1.6954568006355255	possible_overexpansion	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	1	f1	1.0	False	1221.0	61	19.99	multik_loglinear	17.895282116280228	1091.612209093094	1.1185290800424454	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	1	f2	1.0	False	13674.0	171	19.99	single_k21	56.1782	9606.4722	1.4234153511629377	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	1	f2	1.0	False	13674.0	171	19.99	multik_loglinear	83.89383556959147	14345.845882400143	0.9531679143978271	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	1	f3	1.0	False	84201.0	421	19.99	single_k21	136.5186	57474.330599999994	1.4650192376490245	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	1	f3	1.0	False	84201.0	421	19.99	multik_loglinear	208.90723085441167	87949.94418970731	0.9573741151941965	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.75	f1	0.75	False	916.0	61	19.99	single_k21	11.8059	720.1599	1.2719397456037194	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.75	f1	0.75	False	916.0	61	19.99	multik_loglinear	17.895282116280228	1091.612209093094	0.8391258290899919	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.75	f2	0.75	False	10260.0	171	19.99	single_k21	56.1782	9606.4722	1.0680299475597295	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.75	f2	0.75	False	10260.0	171	19.99	multik_loglinear	83.89383556959147	14345.845882400143	0.7151896154542713	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.75	f3	0.75	False	63137.0	421	19.99	single_k21	136.5186	57474.330599999994	1.0985251910006588	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.75	f3	0.75	False	63137.0	421	19.99	multik_loglinear	208.90723085441167	87949.94418970731	0.7178742474675596	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.5	f1	0.5	True	607.0	61	19.99	single_k21	11.8059	720.1599	0.8428683685387093	consistent	False	FN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.5	f1	0.5	True	607.0	61	19.99	multik_loglinear	17.895282116280228	1091.612209093094	0.5560582732070143	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.5	f2	0.5	True	6840.0	171	19.99	single_k21	56.1782	9606.4722	0.7120199650398197	consistent	False	FN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.5	f2	0.5	True	6840.0	171	19.99	multik_loglinear	83.89383556959147	14345.845882400143	0.47679307696951423	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.5	f3	0.5	True	42101.0	421	19.99	single_k21	136.5186	57474.330599999994	0.7325183183603708	consistent	False	FN	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.5	f3	0.5	True	42101.0	421	19.99	multik_loglinear	208.90723085441167	87949.94418970731	0.4786927426490287	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.25	f1	0.25	True	306.0	61	19.99	single_k21	11.8059	720.1599	0.42490563554010713	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.25	f1	0.25	True	306.0	61	19.99	multik_loglinear	17.895282116280228	1091.612209093094	0.2803193271850846	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	20	0.01	0.25	f2	0.25	True	3420.0	171	19.99	single_k21	56.1782	9606.4722	0.35600998251990984	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	20	0.01	0.25	f2	0.25	True	3420.0	171	19.99	multik_loglinear	83.89383556959147	14345.845882400143	0.23839653848475711	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
