seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_001	f032	31	171	9985488	9985488	0.0	0.0
6301	condition_001	f033	15	171	9997040	9997040	130.23976608187482	130.2783284671011
6301	condition_001	f033	21	171	9992708	9992708	130.11695906433096	130.2119095888031
6301	condition_001	f033	27	171	9988376	9988376	130.01169590643622	130.16299737458442
6301	condition_001	f033	31	171	9985488	9985488	129.94152046783972	130.1303656544775
6301	condition_001	f034	15	171	9997040	9997040	135.63742690058842	135.67758746647849
6301	condition_001	f034	21	171	9992708	9992708	120.83625730994474	120.92443540824443
6301	condition_001	f034	27	171	9988376	9988376	107.8070175438625	107.93247825658797
6301	condition_001	f034	31	171	9985488	9985488	99.97076023392076	100.1160486437125
6301	condition_001	f035	15	171	9997040	9997040	266.4269005848026	266.50578629754665
6301	condition_001	f035	21	171	9992708	9992708	266.2339181286622	266.4281975703305
6301	condition_001	f035	27	171	9988376	9988376	266.05847953217096	266.36810581837426
6301	condition_001	f035	31	171	9985488	9985488	265.9415204678435	266.3280156842044
6301	condition_001	f036	15	171	9997040	9997040	133.7660818713486	133.8056883551017
6301	condition_001	f036	21	171	9992708	9992708	117.74853801169904	117.8344629020472
6301	condition_001	f036	27	171	9988376	9988376	103.74269005848227	103.86342089893519
6301	condition_001	f036	31	171	9985488	9985488	95.16959064327735	95.30790146989045
6301	condition_001	f037	15	421	9997040	9997040	37.55581947742913	37.566939291459406
6301	condition_001	f037	21	421	9992708	9992708	37.522565320659545	37.54994674182369
6301	condition_001	f037	27	421	9988376	9988376	37.494061757714185	37.53769557505062
6301	condition_001	f037	31	421	9985488	9985488	37.47505938241728	37.5295222250703
6301	condition_001	f038	15	418	9997040	9997040	37.77511961722581	37.786304363317356
6301	condition_001	f038	21	421	9992708	9992708	34.29216152018809	34.31718561193631
6301	condition_001	f038	27	421	9988376	9988376	31.087885985746766	31.124064598435986
6301	condition_001	f038	31	421	9985488	9985488	29.033254156768457	29.07544844755555
6301	condition_001	f039	15	421	9997040	9997040	0.004750593824228029	0.004752000416351269
6301	condition_001	f039	21	421	9992708	9992708	0.0	0.0
6301	condition_001	f039	27	421	9988376	9988376	0.0	0.0
6301	condition_001	f039	31	421	9985488	9985488	0.0	0.0
6301	condition_001	f040	15	421	9997040	9997040	4.771971496436954	4.773384418224749
6301	condition_001	f040	21	421	9992708	9992708	4.1306413301661085	4.133655591823666
6301	condition_001	f040	27	421	9988376	9988376	3.5510688836103173	3.555201449775536
6301	condition_001	f040	31	421	9985488	9985488	3.20902612826593	3.213689834954416
6301	condition_001	f041	15	421	9997040	9997040	20.648456057006264	20.654569809669926
6301	condition_001	f041	21	421	9992708	9992708	20.61282660332456	20.62786844499465
6301	condition_001	f041	27	421	9988376	9988376	20.5843230403792	20.608278102845947
6301	condition_001	f041	31	421	9985488	9985488	20.565320665082293	20.59520843155817
6301	condition_001	f042	15	420	9997040	9997040	21.14285714285747	21.149117281572813
6301	condition_001	f042	21	421	9992708	9992708	18.48931116389557	18.50280340814079
6301	condition_001	f042	27	421	9988376	9988376	16.2517814726841	16.270694528003453
6301	condition_001	f042	31	421	9985488	9985488	14.942992874109208	14.964709660768916
6301	condition_001	f043	15	420	9997040	9997040	22.576190476195258	22.582875007197387
6301	condition_001	f043	21	421	9992708	9992708	22.524940617573815	22.541377790258473
6301	condition_001	f043	27	421	9988376	9988376	22.496437054628448	22.52261734503031
6301	condition_001	f043	31	421	9985488	9985488	22.47743467933154	22.510101338393817
6301	condition_001	f044	15	421	9997040	9997040	68.90023752967942	68.92063803853883
6301	condition_001	f044	21	421	9992708	9992708	61.93586698336305	61.981063574921876
6301	condition_001	f044	27	421	9988376	9988376	55.59382422802039	55.65852169363708
6301	condition_001	f044	31	421	9985488	9985488	51.691211401418144	51.76633470634399
6301	condition_001	f045	15	421	9997040	9997040	62.79572446554565	62.814317503526695
6301	condition_001	f045	21	421	9992708	9992708	62.76722090260029	62.81302415981763
6301	condition_001	f045	27	421	9988376	9988376	62.73871733965493	62.81172969425153
6301	condition_001	f045	31	421	9985488	9985488	62.719714964358026	62.810866093232534
6301	condition_001	f046	15	421	9997040	9997040	40.22090261282037	40.23281152503178
6301	condition_001	f046	21	421	9992708	9992708	35.648456057002136	35.67446988043895
6301	condition_001	f046	27	421	9988376	9988376	31.672209026124374	31.7090676463565
6301	condition_001	f046	31	421	9985488	9985488	29.25653206650508	29.29905084909729
6301	condition_001	f047	15	421	9997040	9997040	119.95724465556327	119.99276251326721
6301	condition_001	f047	21	421	9992708	9992708	119.86698337290298	119.9544541608771
6301	condition_001	f047	27	421	9988376	9988376	119.7814726840669	119.92086870184592
6301	condition_001	f047	31	421	9985488	9985488	119.72446555817618	119.8984622065303
6301	condition_001	f048	15	421	9997040	9997040	36.81947743467475	36.83037922692592
6301	condition_001	f048	21	421	9992708	9992708	32.370546318286365	32.39416814569821
6301	condition_001	f048	27	421	9988376	9988376	28.410926365793223	28.443989659373276
6301	condition_001	f048	31	421	9985488	9985488	25.985748218525195	26.023513541376442
6301	condition_001	f049	15	421	9997040	9997040	318.22090261276924	318.3151238894405
6301	condition_001	f049	21	421	9992708	9992708	318.00475059376697	318.2368088747985
6301	condition_001	f049	27	421	9988376	9988376	317.8052256531494	318.1750723572575
6301	condition_001	f049	31	421	9985488	9985488	317.672209026071	318.1338849198667
6301	condition_001	f050	15	421	9997040	9997040	123.87173396672367	123.90841085633713
6301	condition_001	f050	21	421	9992708	9992708	110.33491686458964	110.41543179745635
6301	condition_001	f050	27	421	9988376	9988376	98.26128266031748	98.37563449785779
6301	condition_001	f050	31	421	9985488	9985488	90.91923990497509	91.05137365842819
6301	condition_001	f051	15	421	9997040	9997040	41.570071258900704	41.58237964327511
6301	condition_001	f051	21	421	9992708	9992708	41.534441805219004	41.56475082151806
6301	condition_001	f051	27	421	9988376	9988376	41.50593824227364	41.55424089188637
6301	condition_001	f051	31	421	9985488	9985488	41.48693586697674	41.54722920600049
6301	condition_001	f052	15	421	9997040	9997040	176.68171021374957	176.73402348470105
6301	condition_001	f052	21	421	9992708	9992708	157.565320665061	157.68030114065277
6301	condition_001	f052	27	421	9988376	9988376	140.4299287410749	140.5933544562949
6301	condition_001	f052	31	421	9985488	9985488	129.89786223276388	130.08664397049387
6301	condition_001	f053	15	421	9997040	9997040	230.56769596194837	230.63596420735377
6301	condition_001	f053	21	421	9992708	9992708	230.4679334916396	230.63611334549114
6301	condition_001	f053	27	421	9988376	9988376	230.36817102133085	230.63626261299217
6301	condition_001	f053	31	421	9985488	9985488	230.30166270779168	230.63636219661137
6301	condition_001	f054	15	421	9997040	9997040	200.95486935863957	201.01436961204473
6301	condition_001	f054	21	421	9992708	9992708	177.66033254154348	177.7899769927666
6301	condition_001	f054	27	421	9988376	9988376	157.17102137765318	157.35392958540325
6301	condition_001	f054	31	421	9985488	9985488	145.12114014250187	145.3320460076682
6301	condition_001	megabase_171	15	171	9997040	9997040	4142.304093567364	4143.530578618635
6301	condition_001	megabase_171	21	171	9992708	9992708	3891.5146198831467	3894.3543830993026
6301	condition_001	megabase_171	27	171	9988376	9988376	3656.9005847954218	3661.156312893529
6301	condition_001	megabase_171	31	171	9985488	9985488	3508.982456140447	3514.0820920724627
6301	condition_002	f001	15	61	9997279	9997279	55.72131147541004	55.73647737090267
6301	condition_002	f001	21	61	9992947	9992947	53.754098360655775	53.79203788497605
6301	condition_002	f001	27	61	9988615	9988615	51.9836065573769	52.04285735047041
6301	condition_002	f001	31	61	9985727	9985727	50.819672131147286	50.892310726246855
6301	condition_002	f002	15	61	9997279	9997279	0.11475409836065574	0.11478533144934311
6301	condition_002	f002	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f002	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f002	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f003	15	61	9997279	9997279	100.49180327868888	100.51915454063938
6301	condition_002	f003	21	61	9992947	9992947	97.6393442622952	97.70825789658966
6301	condition_002	f003	27	61	9988615	9988615	94.78688524590152	94.89492311586893
6301	condition_002	f003	31	61	9985727	9985727	92.88524590163908	93.01801050803721
6301	condition_002	f004	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f004	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f004	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f004	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f005	15	61	9997279	9997279	19.32786885245916	19.333129396968076
6301	condition_002	f005	21	61	9992947	9992947	19.016393442623066	19.02981517126336
6301	condition_002	f005	27	61	9988615	9988615	18.721311475409923	18.7426499824149
6301	condition_002	f005	31	61	9985727	9985727	18.524590163934494	18.55106810343853
6301	condition_002	f006	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f006	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f006	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f006	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f007	15	61	9997279	9997279	64.19672131147293	64.2141939936586
6301	condition_002	f007	21	61	9992947	9992947	62.22950819671902	62.27342964664879
6301	condition_002	f007	27	61	9988615	9988615	60.36065573770285	60.42945467184674
6301	condition_002	f007	31	61	9985727	9985727	59.11475409835874	59.199249186722945
6301	condition_002	f008	15	61	9997279	9997279	72.24590163934599	72.26556509960959
6301	condition_002	f008	21	61	9992947	9992947	61.327868852461236	61.371153927326176
6301	condition_002	f008	27	61	9988615	9988615	52.24590163934586	52.30545139575993
6301	condition_002	f008	31	61	9985727	9985727	47.000000000001094	47.067178984565764
6301	condition_002	f009	15	61	9997279	9997279	56.37704918032628	56.3923935506114
6301	condition_002	f009	21	61	9992947	9992947	55.68852459016243	55.72782942825818
6301	condition_002	f009	27	61	9988615	9988615	54.99999999999858	55.06268887127853
6301	condition_002	f009	31	61	9985727	9985727	54.54098360655601	54.61894122136126
6301	condition_002	f010	15	61	9997279	9997279	128.88524590163703	128.92032512210275
6301	condition_002	f010	21	61	9992947	9992947	110.63934426229429	110.7174332679782
6301	condition_002	f010	27	61	9988615	9988615	95.50819672131209	95.61705674041106
6301	condition_002	f010	31	61	9985727	9985727	86.44262295082122	86.56617885790511
6301	condition_002	f011	15	61	9997279	9997279	83.59016393442658	83.61291500860042
6301	condition_002	f011	21	61	9992947	9992947	82.06557377049234	82.12349547184863
6301	condition_002	f011	27	61	9988615	9988615	80.59016393442694	80.68202041466904
6301	condition_002	f011	31	61	9985727	9985727	79.63934426229591	79.7531759703584
6301	condition_002	f012	15	61	9997279	9997279	44.04918032786925	44.06116937205539
6301	condition_002	f012	21	61	9992947	9992947	37.26229508196841	37.288594727829945
6301	condition_002	f012	27	61	9988615	9988615	31.213114754099244	31.2486913892459
6301	condition_002	f012	31	61	9985727	9985727	27.622950819672685	27.662433410880034
6301	condition_002	f013	15	61	9997279	9997279	96.67213114753976	96.69844279382396
6301	condition_002	f013	21	61	9992947	9992947	94.06557377049089	94.13196504543743
6301	condition_002	f013	27	61	9988615	9988615	91.6229508196715	91.72738244458466
6301	condition_002	f013	31	61	9985727	9985727	90.06557377049137	90.19430810645171
6301	condition_002	f014	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f014	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f014	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f014	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f015	15	61	9997279	9997279	50.540983606556495	50.55473955118837
6301	condition_002	f015	21	61	9992947	9992947	49.45901639344187	49.49392445836236
6301	condition_002	f015	27	61	9988615	9988615	48.37704918032725	48.432189227763054
6301	condition_002	f015	31	61	9985727	9985727	47.6557377049175	47.723853961677
6301	condition_002	f016	15	61	9997279	9997279	81.4098360655767	81.43199371106547
6301	condition_002	f016	21	61	9992947	9992947	71.13114754098332	71.18135174837144
6301	condition_002	f016	27	61	9988615	9988615	62.688524590161585	62.75997682377545
6301	condition_002	f016	31	61	9985727	9985727	57.63934426229334	57.72173048821917
6301	condition_002	f017	15	61	9997279	9997279	0.0	0.0
6301	condition_002	f017	21	61	9992947	9992947	0.0	0.0
6301	condition_002	f017	27	61	9988615	9988615	0.0	0.0
6301	condition_002	f017	31	61	9985727	9985727	0.0	0.0
6301	condition_002	f018	15	61	9997279	9997279	174.39344262296208	174.44090799402727
6301	condition_002	f018	21	61	9992947	9992947	152.39344262295862	152.50100157937254
6301	condition_002	f018	27	61	9988615	9988615	133.26229508197198	133.41418713402408
6301	condition_002	f018	31	61	9985727	9985727	121.65573770492102	121.82962512886746
6301	condition_002	f019	15	171	9997279	9997279	0.005847953216374269	0.005849544877535446
6301	condition_002	f019	21	171	9992947	9992947	0.0	0.0
6301	condition_002	f019	27	171	9988615	9988615	0.0	0.0
6301	condition_002	f019	31	171	9985727	9985727	0.0	0.0
6301	condition_002	f020	15	165	9997279	9997279	25.81818181818118	25.82520885751131
6301	condition_002	f020	21	171	9992947	9992947	21.690058479532638	21.705367275071747
6301	condition_002	f020	27	171	9988615	9988615	18.46198830409395	18.483031235155174
6301	condition_002	f020	31	171	9985727	9985727	16.567251461988633	16.590931698802333
6301	condition_002	f021	15	171	9997279	9997279	36.96491228070266	36.974973170902466
6301	condition_002	f021	21	171	9992947	9992947	36.10526315789562	36.13074617317156
6301	condition_002	f021	27	171	9988615	9988615	35.2631578947377	35.303350759577484
6301	condition_002	f021	31	171	9985727	9985727	34.70175438596576	34.75135499495005
6301	condition_002	f022	15	171	9997279	9997279	40.093567251462915	40.104479680383946
6301	condition_002	f022	21	171	9992947	9992947	35.45614035087799	35.48116521670533
6301	condition_002	f022	27	171	9988615	9988615	31.263157894737517	31.298791568938753
6301	condition_002	f022	31	171	9985727	9985727	28.807017543860255	28.848192569114154
6301	condition_002	f023	15	171	9997279	9997279	38.1228070175448	38.13318305665452
