dataset_id	scenario	seed	read_id	read_length	truth_array_count	screen_status	candidate_period_count	best_period	periodicity_score	repeat_start	repeat_end	repeat_span	repeat_span_fraction	unit_span_residual_fraction	shifted_identity	valid_pair_fraction	composition_adjusted_identity	maximum_truth_iou	minimum_truth_period_error_bp
at_rich_control_s1201	at_rich_control	1201	r0000038	5000	0	rejected_score	5	53	0.5283018867924528	3486	3592	106	0.0212	0.0	0.660377358490566	1.0	0.3762667538411245	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000039	5000	0	rejected_score	5	48	0.5230769230769231	4600	4700	100	0.02	0.08333333333333333	0.6538461538461539	1.0	0.3558730067848044	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000040	5000	0	rejected_score	5	60	0.5217391304347826	632	761	129	0.0258	0.15	0.6521739130434783	1.0	0.36407669599610204	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000041	5000	0	rejected_score	5	31	0.5217391304347826	997	1097	100	0.02	0.22580645161290322	0.6521739130434783	1.0	0.36666772222046295	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000042	5000	0	rejected_score	5	52	0.5283018867924528	1559	1664	105	0.021	0.019230769230769232	0.660377358490566	1.0	0.3638566730136748	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000043	5000	0	rejected_score	5	52	0.5333333333333333	3785	3891	106	0.0212	0.038461538461538464	0.6666666666666666	1.0	0.4288909220290738	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000044	5000	0	rejected_score	5	50	0.5176470588235295	2883	2984	101	0.0202	0.02	0.6470588235294118	1.0	0.37406937740325613	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000045	5000	0	rejected_score	5	57	0.5473684210526316	2092	2206	114	0.0228	0.0	0.6842105263157895	1.0	0.42793420685809874	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000046	5000	0	rejected_score	5	40	0.5375	136	240	104	0.0208	0.4	0.671875	1.0	0.3793284365162644	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000047	5000	0	rejected_score	5	51	0.67466958344727	4846	4950	104	0.0208	0.0392156862745098	0.7358490566037735	1.0	0.5419915672052604	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000048	5000	0	rejected_score	5	50	0.5333333333333333	2312	2413	101	0.0202	0.02	0.6666666666666666	1.0	0.34407150205761305	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000049	5000	0	rejected_score	5	48	0.6449602824360106	3888	3991	103	0.0206	0.14583333333333334	0.6909090909090909	1.0	0.44041886441203854	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000050	5000	0	rejected_score	5	61	0.5161290322580645	1431	1554	123	0.0246	0.01639344262295082	0.6451612903225806	1.0	0.38843075430511753	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000051	5000	0	rejected_score	5	39	0.5114754098360657	2165	2265	100	0.02	0.4358974358974359	0.639344262295082	1.0	0.36167126069926026	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000052	5000	0	rejected_score	5	55	0.659569938258463	817	927	110	0.022	0.0	0.7272727272727273	1.0	0.5100950118764846	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000053	5000	0	rejected_score	5	42	0.5288135593220339	4205	4306	101	0.0202	0.40476190476190477	0.6610169491525424	1.0	0.3733298112187541	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000054	5000	0	rejected_score	5	43	0.5333333333333333	4653	4753	100	0.02	0.32558139534883723	0.6666666666666666	1.0	0.32414165990808314	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000055	5000	0	rejected_score	5	33	0.5492537313432836	3332	3432	100	0.02	0.030303030303030304	0.6865671641791045	1.0	0.4590389440440188	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000056	5000	0	rejected_score	5	47	0.5132075471698113	3193	3293	100	0.02	0.1276595744680851	0.6415094339622641	1.0	0.3228361049532756	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000057	5000	0	rejected_score	5	48	0.6433123079411289	4585	4687	102	0.0204	0.125	0.7037037037037037	1.0	0.4493271406454687	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000058	5000	0	rejected_score	5	45	0.6395114136964357	1800	1900	100	0.02	0.2222222222222222	0.6909090909090909	1.0	0.46836788942052104	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000059	5000	0	rejected_score	5	32	0.5176470588235295	1083	1183	100	0.02	0.125	0.6470588235294118	1.0	0.37488279052322315	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000060	5000	0	rejected_score	5	44	0.5241379310344828	1304	1406	102	0.0204	0.3181818181818182	0.6551724137931034	1.0	0.3734568272971442	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000061	5000	0	rejected_score	5	42	0.642211376910153	3578	3678	100	0.02	0.38095238095238093	0.6896551724137931	1.0	0.46344255258262984	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000062	5000	0	rejected_score	5	50	0.6414339758602055	501	603	102	0.0204	0.04	0.6923076923076923	1.0	0.43260709513811235	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000063	5000	0	rejected_score	5	49	0.5333333333333333	1609	1709	100	0.02	0.04081632653061224	0.6666666666666666	1.0	0.4331065759637188	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000064	5000	0	rejected_score	5	60	0.5419354838709677	4581	4703	122	0.0244	0.03333333333333333	0.6774193548387096	1.0	0.38460775152773063	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000065	5000	0	rejected_score	5	45	0.5192982456140351	532	634	102	0.0204	0.26666666666666666	0.6491228070175439	1.0	0.40987288784521936	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000066	5000	0	rejected_score	5	49	0.5490196078431373	1332	1432	100	0.02	0.04081632653061224	0.6862745098039216	1.0	0.43513595571465896	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000067	5000	0	rejected_score	5	43	0.6335294117647059	1317	1424	107	0.0214	0.4883720930232558	0.6875	1.0	0.44305533935242836	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000068	5000	0	rejected_score	5	40	0.6453862839979977	2209	2314	105	0.021	0.375	0.6923076923076923	1.0	0.4366808880259561	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000069	5000	0	rejected_score	5	40	0.5466666666666667	3325	3425	100	0.02	0.5	0.6833333333333333	1.0	0.44889198282863446	0.0	NA
