seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5302	0.05	1	500	iid_base	0.9	0.5	f3	42100	42100	42100	1.0	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.25	f1	305	281	281	0.921311475409836	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.25	f2	3420	3290	3290	0.9619883040935673	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0.25	f3	21050	21050	21050	1.0	1.0	1	1
5302	0.05	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5302	0.05	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5302	0.05	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5302	0.05	3	500	iid_base	0.9	1	f1	1220	910	909	0.7450819672131147	0.9989010989010989	4	3
5302	0.05	3	500	iid_base	0.9	1	f2	13680	13508	13508	0.9874269005847953	1.0	3	3
5302	0.05	3	500	iid_base	0.9	1	f3	84200	84187	84184	0.9998099762470308	0.9999643650444843	3	3
5302	0.05	3	500	iid_base	0.9	0.75	f1	915	758	758	0.8284153005464481	1.0	4	3
5302	0.05	3	500	iid_base	0.9	0.75	f2	10260	10107	10104	0.9847953216374269	0.9997031760166222	3	3
5302	0.05	3	500	iid_base	0.9	0.75	f3	63150	63123	63120	0.9995249406175772	0.9999524737417423	3	3
5302	0.05	3	500	iid_base	0.9	0.5	f1	610	430	429	0.7032786885245902	0.9976744186046511	3	3
5302	0.05	3	500	iid_base	0.9	0.5	f2	6840	6652	6652	0.9725146198830409	1.0	3	3
5302	0.05	3	500	iid_base	0.9	0.5	f3	42100	42068	42065	0.9991686460807601	0.9999286868878958	3	3
5302	0.05	3	500	iid_base	0.9	0.25	f1	305	199	198	0.6491803278688525	0.9949748743718593	3	3
5302	0.05	3	500	iid_base	0.9	0.25	f2	3420	3212	3212	0.9391812865497076	1.0	3	3
5302	0.05	3	500	iid_base	0.9	0.25	f3	21050	20985	20982	0.996769596199525	0.9998570407433881	3	3
5302	0.05	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5302	0.05	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5302	0.05	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5303	0.01	1	500	iid_base	0.9	1	f1	1220	1220	1220	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	1	f2	13680	13680	13680	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	1	f3	84200	84200	84200	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.75	f1	915	915	915	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.75	f3	63150	63150	63150	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.5	f1	610	610	610	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.5	f2	6840	6840	6840	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.5	f3	42100	42100	42100	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.25	f1	305	305	305	1.0	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.25	f2	3420	3416	3416	0.9988304093567252	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0.25	f3	21050	21038	21038	0.9994299287410926	1.0	1	1
5303	0.01	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5303	0.01	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5303	0.01	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5303	0.01	3	500	iid_base	0.9	1	f1	1220	1223	1220	1.0	0.9975470155355682	3	3
5303	0.01	3	500	iid_base	0.9	1	f2	13680	13681	13678	0.9998538011695907	0.9997807177837877	3	3
5303	0.01	3	500	iid_base	0.9	1	f3	84200	84198	84198	0.9999762470308788	1.0	3	3
5303	0.01	3	500	iid_base	0.9	0.75	f1	915	918	915	1.0	0.9967320261437909	3	3
5303	0.01	3	500	iid_base	0.9	0.75	f2	10260	10259	10256	0.9996101364522417	0.999707573837606	3	3
5303	0.01	3	500	iid_base	0.9	0.75	f3	63150	63121	63121	0.9995407759303246	1.0	3	3
5303	0.01	3	500	iid_base	0.9	0.5	f1	610	613	610	1.0	0.9951060358890701	3	3
5303	0.01	3	500	iid_base	0.9	0.5	f2	6840	6831	6830	0.9985380116959064	0.9998536085492608	3	3
5303	0.01	3	500	iid_base	0.9	0.5	f3	42100	42086	42086	0.9996674584323041	1.0	3	3
5303	0.01	3	500	iid_base	0.9	0.25	f1	305	308	305	1.0	0.9902597402597403	3	3
5303	0.01	3	500	iid_base	0.9	0.25	f2	3420	3408	3407	0.9961988304093568	0.999706572769953	3	3
5303	0.01	3	500	iid_base	0.9	0.25	f3	21050	21010	21010	0.9980997624703087	1.0	3	3
5303	0.01	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5303	0.01	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5303	0.01	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5303	0.03	1	500	iid_base	0.9	1	f1	1220	1200	1200	0.9836065573770492	1.0	1	1
5303	0.03	1	500	iid_base	0.9	1	f2	13680	13634	13634	0.9966374269005848	1.0	1	1
5303	0.03	1	500	iid_base	0.9	1	f3	84200	84200	84200	1.0	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.75	f1	915	851	851	0.9300546448087431	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.75	f2	10260	10227	10227	0.9967836257309941	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.75	f3	63150	63129	63129	0.9996674584323041	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.5	f1	610	578	578	0.9475409836065574	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.5	f2	6840	6816	6816	0.9964912280701754	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.5	f3	42100	42091	42091	0.9997862232779098	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.25	f1	305	277	277	0.9081967213114754	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.25	f2	3420	3395	3395	0.9926900584795322	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0.25	f3	21050	21023	21023	0.9987173396674585	1.0	1	1
5303	0.03	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5303	0.03	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5303	0.03	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5303	0.03	3	500	iid_base	0.9	1	f1	1220	1143	1141	0.9352459016393443	0.9982502187226596	3	3
5303	0.03	3	500	iid_base	0.9	1	f2	13680	13574	13571	0.9920321637426901	0.9997789892441432	3	3
5303	0.03	3	500	iid_base	0.9	1	f3	84200	84166	84166	0.9995961995249406	1.0	3	3
5303	0.03	3	500	iid_base	0.9	0.75	f1	915	822	822	0.898360655737705	1.0	3	3
5303	0.03	3	500	iid_base	0.9	0.75	f2	10260	10229	10226	0.9966861598440546	0.999706716199042	3	3
5303	0.03	3	500	iid_base	0.9	0.75	f3	63150	63068	63068	0.9987015043547111	1.0	3	3
5303	0.03	3	500	iid_base	0.9	0.5	f1	610	545	545	0.8934426229508197	1.0	3	3
5303	0.03	3	500	iid_base	0.9	0.5	f2	6840	6754	6753	0.987280701754386	0.9998519395913533	3	3
5303	0.03	3	500	iid_base	0.9	0.5	f3	42100	42041	42041	0.9985985748218528	1.0	3	3
5303	0.03	3	500	iid_base	0.9	0.25	f1	305	231	230	0.7540983606557377	0.9956709956709957	3	3
5303	0.03	3	500	iid_base	0.9	0.25	f2	3420	3351	3349	0.9792397660818714	0.9994031632348552	3	3
5303	0.03	3	500	iid_base	0.9	0.25	f3	21050	20973	20973	0.9963420427553444	1.0	3	3
5303	0.03	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5303	0.03	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5303	0.03	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5303	0.05	1	500	iid_base	0.9	1	f1	1220	1125	1125	0.9221311475409836	1.0	2	1
5303	0.05	1	500	iid_base	0.9	1	f2	13680	13630	13630	0.9963450292397661	1.0	1	1
5303	0.05	1	500	iid_base	0.9	1	f3	84200	84151	84151	0.999418052256532	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.75	f1	915	820	820	0.8961748633879781	1.0	2	1
5303	0.05	1	500	iid_base	0.9	0.75	f2	10260	10180	10180	0.9922027290448343	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.75	f3	63150	63084	63084	0.9989548693586698	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.5	f1	610	493	493	0.8081967213114755	1.0	2	1
5303	0.05	1	500	iid_base	0.9	0.5	f2	6840	6803	6803	0.9945906432748538	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.5	f3	42100	42046	42046	0.9987173396674585	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.25	f1	305	290	290	0.9508196721311475	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.25	f2	3420	3380	3380	0.9883040935672515	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0.25	f3	21050	20914	20914	0.9935391923990499	1.0	1	1
5303	0.05	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5303	0.05	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5303	0.05	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5303	0.05	3	500	iid_base	0.9	1	f1	1220	1067	1067	0.8745901639344262	1.0	3	3
5303	0.05	3	500	iid_base	0.9	1	f2	13680	13557	13557	0.9910087719298246	1.0	3	3
5303	0.05	3	500	iid_base	0.9	1	f3	84200	83978	83978	0.9973634204275534	1.0	3	3
5303	0.05	3	500	iid_base	0.9	0.75	f1	915	772	772	0.8437158469945355	1.0	3	3
5303	0.05	3	500	iid_base	0.9	0.75	f2	10260	10163	10161	0.9903508771929824	0.9998032077142576	3	3
5303	0.05	3	500	iid_base	0.9	0.75	f3	63150	62992	62992	0.9974980205859065	1.0	3	3
5303	0.05	3	500	iid_base	0.9	0.5	f1	610	449	448	0.7344262295081967	0.9977728285077951	3	3
5303	0.05	3	500	iid_base	0.9	0.5	f2	6840	6782	6780	0.9912280701754386	0.9997051017398997	3	3
5303	0.05	3	500	iid_base	0.9	0.5	f3	42100	41966	41966	0.9968171021377672	1.0	3	3
5303	0.05	3	500	iid_base	0.9	0.25	f1	305	241	240	0.7868852459016393	0.995850622406639	3	3
5303	0.05	3	500	iid_base	0.9	0.25	f2	3420	3359	3358	0.9818713450292398	0.9997022923489134	3	3
5303	0.05	3	500	iid_base	0.9	0.25	f3	21050	20904	20904	0.9930641330166271	1.0	3	3
5303	0.05	3	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5303	0.05	3	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5303	0.05	3	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
