source_run	scenario	seed	tool	original_status	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity
elastic_development_v2_20260906	at_rich_control	1101	tandemx	ok	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA
elastic_development_v2_20260906	low_complexity_control	1101	tandemx	ok	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA
elastic_validation_v1_20260906	clean_60	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.0857142857142856	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9987951043185997	0.9993971889971128	126152	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	clean_171	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4785714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9985609710317213	0.9992799674420061	143847	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	clean_421	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.1214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9993345117138654	0.9996671451014147	235917	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	clean_729	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.6214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9992591553065041	0.9996294403896916	306407	306180	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	substitution_1pct	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4214285714285715	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999303815093289	0.9986858481841759	0.9993077273628587	143819	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	substitution_5pct	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.7142857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9997702589807853	0.9985606408277359	0.9991650838047131	143814	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	indel_01pct	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.8428571428571427	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999791169243406	0.9982280468907434	0.9991028146582002	143909	143657	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	indel_1pct	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	2.085714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998955366283402	0.9980744231959013	0.9989841499561654	143853	143591	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	indel_4pct	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.18571428571428572	2.092857142857143	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9996446017797785	0.9983158422180776	0.9989797801478448	143692	143501	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	divergent_units	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	2.4357142857142855	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9987050960735171	0.9989206804587456	0.998812876633165	143609	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	related_families	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.7571428571428571	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9982903131645886	0.9991444251998081	143886	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	2	0.6666666666666666	equal_length_circular_ungapped_identity_ge_0.9	0.6666666666666666	2	1.0	0	0.9688109161793372
elastic_validation_v1_20260906	short_arrays	2101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.6642857142857144	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9935533851644855	0.9967662692740067	36143	35910	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	two_arrays	2101	tandemx	ok	140	140	140	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.2964285714285715	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9981082221979019	0.9990532155460442	191883	191520	0	0.0	0.9732937996305869	1.0	0.9732937996305869	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
elastic_validation_v1_20260906	dispersed_control	2101	tandemx	ok	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA
elastic_validation_v1_20260906	at_rich_control	2101	tandemx	ok	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA
elastic_validation_v1_20260906	low_complexity_control	2101	tandemx	ok	0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA
ultra_pilot_v1_20260906	clean_171	1101	ultra	ok	7	7	7	1.0	1.0	1.0	1.0	1.0	3	0	0.0	1.0	11.785714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9886434028494735	0.9942892742186689	14529	14364	0	0.0	0.6456695649333126	1.0	0.6456695649333126	1.0	0.0	0.5614970317550454	3	0	0.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	7	1.0	0	0.9941520467836259
ultra_pilot_v1_20260906	indel_4pct	1101	ultra	ok	7	13	3	0.42857142857142855	0.23076923076923078	0.3	1.0	1.0	3	0	0.0	0.3333333333333333	220.16666666666666	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.7870119022760492	0.9955974288984767	0.8791012284248173	11357	14367	100	0.008728288382648162	0.15821985525146975	0.7495416354723428	0.08179528718498569	0.5025637594672749	0.0	0.5614970317550454	3	0	0.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	13	0.46153846153846156	7	0.9475157532073076
ultra_tuned_pilot_v1_20260906	clean_171	1101	ultra	ok	7	7	7	1.0	1.0	1.0	1.0	1.0	3	0	0.0	1.0	13.285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9872164948453608	0.9935671301099813	14550	14364	0	0.0	0.6456695649333126	1.0	0.6456695649333126	1.0	0.0	0.5614970317550454	3	0	0.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	7	1.0	0	0.9941520467836259
ultra_tuned_pilot_v1_20260906	indel_4pct	1101	ultra	ok	7	7	7	1.0	1.0	1.0	1.0	1.0	3	0	0.0	1.1428571428571428	27.857142857142858	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9861488132525927	0.9866982380388607	0.9864234491401518	14359	14367	0	0.0	0.6456695649333126	1.0	0.6456695649333126	1.0	0.0	0.5614970317550454	3	0	0.0	equal_length_circular_ungapped_identity_ge_0.9	0.0	7	0.0	7	0.7768650914376499
