[M::mm_idx_gen::0.003*0.92] collected minimizers
[M::mm_idx_gen::0.004*1.81] sorted minimizers
[M::main::0.004*1.81] loaded/built the index for 22 target sequence(s)
[M::mm_mapopt_update::0.004*1.79] mid_occ = 50
[M::worker_pipeline::309.805*3.99] mapped 2242 sequences
[M::worker_pipeline::311.728*3.99] mapped 2235 sequences
[M::worker_pipeline::314.013*3.99] mapped 2253 sequences
[M::worker_pipeline::316.740*3.98] mapped 2241 sequences
[M::worker_pipeline::319.217*3.98] mapped 2255 sequences
[M::worker_pipeline::321.747*3.98] mapped 2254 sequences
[M::worker_pipeline::324.432*3.98] mapped 2252 sequences
[M::worker_pipeline::326.621*3.98] mapped 2259 sequences
[M::worker_pipeline::328.731*3.98] mapped 2249 sequences
[M::worker_pipeline::330.984*3.98] mapped 2252 sequences
[M::worker_pipeline::333.265*3.98] mapped 2258 sequences
[M::worker_pipeline::335.241*3.98] mapped 2247 sequences
[M::worker_pipeline::337.441*3.98] mapped 2274 sequences
[M::worker_pipeline::339.499*3.98] mapped 2256 sequences
[M::worker_pipeline::341.870*3.98] mapped 2258 sequences
[M::worker_pipeline::343.886*3.98] mapped 2279 sequences
[M::worker_pipeline::346.145*3.98] mapped 2254 sequences
[M::worker_pipeline::348.383*3.98] mapped 2245 sequences
[M::worker_pipeline::350.590*3.98] mapped 2265 sequences
[M::worker_pipeline::352.753*3.98] mapped 2259 sequences
[M::worker_pipeline::355.012*3.98] mapped 2276 sequences
[M::worker_pipeline::357.214*3.98] mapped 2274 sequences
[M::worker_pipeline::359.464*3.98] mapped 2261 sequences
[M::worker_pipeline::361.869*3.97] mapped 2256 sequences
[M::worker_pipeline::364.341*3.97] mapped 2240 sequences
[M::worker_pipeline::366.688*3.97] mapped 2292 sequences
[M::worker_pipeline::368.935*3.97] mapped 2245 sequences
[M::worker_pipeline::370.970*3.97] mapped 2268 sequences
[M::worker_pipeline::373.279*3.97] mapped 2256 sequences
[M::worker_pipeline::375.685*3.97] mapped 2259 sequences
[M::worker_pipeline::377.869*3.97] mapped 2267 sequences
[M::worker_pipeline::379.811*3.97] mapped 2274 sequences
[M::worker_pipeline::381.963*3.97] mapped 2248 sequences
[M::worker_pipeline::384.387*3.97] mapped 2271 sequences
[M::worker_pipeline::386.664*3.97] mapped 2272 sequences
[M::worker_pipeline::388.621*3.97] mapped 2288 sequences
[M::worker_pipeline::390.719*3.97] mapped 2264 sequences
[M::worker_pipeline::392.733*3.97] mapped 2263 sequences
[M::worker_pipeline::394.719*3.97] mapped 2256 sequences
[M::worker_pipeline::396.807*3.97] mapped 2267 sequences
[M::worker_pipeline::398.972*3.97] mapped 2251 sequences
[M::worker_pipeline::401.028*3.97] mapped 2259 sequences
[M::worker_pipeline::403.218*3.97] mapped 2249 sequences
[M::worker_pipeline::405.443*3.97] mapped 2267 sequences
[M::worker_pipeline::407.614*3.98] mapped 2262 sequences
[M::worker_pipeline::409.562*3.98] mapped 2261 sequences
[M::worker_pipeline::411.888*3.98] mapped 2271 sequences
[M::worker_pipeline::414.091*3.98] mapped 2273 sequences
[M::worker_pipeline::416.243*3.98] mapped 2265 sequences
[M::worker_pipeline::418.347*3.98] mapped 2265 sequences
[M::worker_pipeline::420.399*3.98] mapped 2280 sequences
[M::worker_pipeline::422.605*3.98] mapped 2269 sequences
[M::worker_pipeline::424.708*3.98] mapped 2283 sequences
[M::worker_pipeline::426.955*3.98] mapped 2266 sequences
[M::worker_pipeline::428.800*3.98] mapped 2256 sequences
[M::worker_pipeline::430.845*3.98] mapped 2228 sequences
[M::worker_pipeline::432.848*3.98] mapped 2262 sequences
[M::worker_pipeline::435.021*3.98] mapped 2270 sequences
[M::worker_pipeline::437.099*3.98] mapped 2270 sequences
[M::worker_pipeline::439.009*3.98] mapped 2230 sequences
[M::worker_pipeline::441.275*3.98] mapped 2262 sequences
[M::worker_pipeline::443.402*3.98] mapped 2264 sequences
[M::worker_pipeline::445.373*3.98] mapped 2270 sequences
[M::worker_pipeline::447.490*3.98] mapped 2263 sequences
[M::worker_pipeline::449.439*3.98] mapped 2251 sequences
[M::worker_pipeline::451.495*3.98] mapped 2272 sequences
[M::worker_pipeline::453.665*3.98] mapped 2263 sequences
[M::worker_pipeline::455.717*3.98] mapped 2269 sequences
[M::worker_pipeline::457.965*3.98] mapped 2258 sequences
[M::worker_pipeline::460.145*3.98] mapped 2259 sequences
[M::worker_pipeline::462.652*3.98] mapped 2256 sequences
[M::worker_pipeline::464.774*3.98] mapped 2245 sequences
[M::worker_pipeline::467.075*3.98] mapped 2278 sequences
[M::worker_pipeline::469.106*3.98] mapped 2236 sequences
[M::worker_pipeline::471.249*3.98] mapped 2249 sequences
[M::worker_pipeline::473.311*3.98] mapped 2272 sequences
[M::worker_pipeline::475.605*3.98] mapped 2258 sequences
[M::worker_pipeline::477.854*3.98] mapped 2265 sequences
[M::worker_pipeline::480.087*3.98] mapped 2236 sequences
[M::worker_pipeline::482.083*3.98] mapped 2258 sequences
[M::worker_pipeline::484.569*3.98] mapped 2238 sequences
[M::worker_pipeline::486.622*3.98] mapped 2262 sequences
[M::worker_pipeline::488.652*3.98] mapped 2248 sequences
[M::worker_pipeline::491.068*3.98] mapped 2272 sequences
[M::worker_pipeline::493.421*3.98] mapped 2249 sequences
[M::worker_pipeline::495.604*3.98] mapped 2239 sequences
[M::worker_pipeline::497.792*3.98] mapped 2257 sequences
[M::worker_pipeline::500.065*3.98] mapped 2248 sequences
[M::worker_pipeline::502.692*3.98] mapped 2263 sequences
[M::worker_pipeline::505.257*3.98] mapped 2260 sequences
[M::worker_pipeline::507.666*3.98] mapped 2274 sequences
[M::worker_pipeline::509.983*3.98] mapped 2248 sequences
[M::worker_pipeline::511.892*3.98] mapped 2264 sequences
[M::worker_pipeline::513.983*3.98] mapped 2267 sequences
[M::worker_pipeline::516.087*3.98] mapped 2243 sequences
[M::worker_pipeline::518.232*3.98] mapped 2260 sequences
[M::worker_pipeline::520.295*3.98] mapped 2256 sequences
[M::worker_pipeline::522.502*3.98] mapped 2262 sequences
[M::worker_pipeline::525.011*3.98] mapped 2242 sequences
[M::worker_pipeline::527.158*3.98] mapped 2251 sequences
[M::worker_pipeline::529.493*3.98] mapped 2259 sequences
[M::worker_pipeline::531.933*3.98] mapped 2252 sequences
[M::worker_pipeline::534.292*3.98] mapped 2246 sequences
[M::worker_pipeline::536.216*3.98] mapped 2249 sequences
[M::worker_pipeline::539.103*3.97] mapped 2251 sequences
[M::worker_pipeline::541.392*3.97] mapped 2246 sequences
[M::worker_pipeline::543.647*3.97] mapped 2251 sequences
[M::worker_pipeline::545.939*3.97] mapped 2250 sequences
[M::worker_pipeline::547.913*3.97] mapped 2235 sequences
[M::worker_pipeline::550.066*3.97] mapped 2236 sequences
[M::worker_pipeline::551.976*3.97] mapped 2250 sequences
[M::worker_pipeline::554.233*3.97] mapped 2252 sequences
[M::worker_pipeline::556.327*3.97] mapped 2257 sequences
[M::worker_pipeline::558.444*3.97] mapped 2244 sequences
[M::worker_pipeline::560.620*3.97] mapped 2230 sequences
[M::worker_pipeline::563.327*3.97] mapped 2250 sequences
[M::worker_pipeline::565.888*3.97] mapped 2245 sequences
[M::worker_pipeline::568.250*3.97] mapped 2240 sequences
[M::worker_pipeline::570.670*3.97] mapped 2240 sequences
[M::worker_pipeline::572.987*3.97] mapped 2238 sequences
[M::worker_pipeline::575.349*3.97] mapped 2235 sequences
[M::worker_pipeline::577.806*3.97] mapped 2217 sequences
[M::worker_pipeline::579.902*3.97] mapped 2243 sequences
[M::worker_pipeline::582.059*3.97] mapped 2241 sequences
