seed	condition_id	family_id	monomer_length	extrapolated_copy_number	uncorrected_mean_k21	log_slope_per_base	effective_word_loss_probability	max_absolute_log_residual	leave_one_k_out_log_range	status	warning
6301	condition_001	f053	421	230.63559104978563	230.63611334553806	1.0784998962228397e-07	NA	2.59314030565849e-10	1.8198544893266444e-09	positive_slope_inconsistent_with_loss	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	f054	421	272.3853505266029	177.78997699279086	-0.020291203567789684	0.020086722487900735	0.0008577004963520318	0.005423493742297225	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_001	megabase_171	171	4835.2308347590715	3894.3543830991966	-0.010298744345589372	0.01024589386484052	0.00012732867909320822	0.0009111822491671973	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f001	61	60.64717562202056	53.79203788497601	-0.005667580579280317	0.005651550143362719	0.0009284121539165913	0.004443774771359266	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f002	61	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f003	61	108.13090372323465	97.70825789658954	-0.004845452507010523	0.004833732239652525	0.000398016448869179	0.0028241171745007065	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f004	61	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f005	61	20.092245877450985	19.029815171263245	-0.0025763794647893526	0.002573063447600229	0.00022302586387005358	0.0010257139916225455	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f006	61	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f007	61	69.28691653157615	62.273429646651095	-0.005073188815727939	0.005060341927426043	0.0001966504940571212	0.0005800790613674778	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f008	61	107.89263643868405	61.37115392732395	-0.026793428996601403	0.026437669498471393	0.0015346976783442434	0.009599427233792035	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f009	61	58.11024114005641	55.72782942825969	-0.0019968155515374866	0.0019948232416764607	7.086361518661433e-05	0.0004995349413592365	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f010	61	186.93698141397653	110.71743326797899	-0.02484733982970482	0.024541185628967194	0.0019961164368964557	0.008885116066203125	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f011	61	87.39304888550062	82.1234954718481	-0.0029551970060584915	0.002950834709592703	0.00013245350943247997	0.0010266664413833837	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f012	61	68.39245174403696	37.28859472782875	-0.029092879444177412	0.028673755964803	0.004375512928371683	0.029023769215600126	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f013	61	103.18625037502449	94.13196504543836	-0.00435170425209909	0.004342249307163788	0.00045214086789760466	0.0029605967935841804	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f014	61	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f015	61	53.369578528956865	49.49392445836311	-0.0036006482210691835	0.0035941736604660664	0.00022264330735526083	0.0015752333911969174	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f016	61	112.11857739923478	71.18135174837174	-0.021471040105417682	0.021242178217938126	0.003434325338175226	0.01850730823494917	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f017	61	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f018	61	244.1791168282126	152.50100157936475	-0.022412435339922186	0.022163142603340846	0.0006921909887478428	0.0020793012278712553	experimental_log_linear_extrapolation	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
6301	condition_002	f019	171	NA	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	experimental_model_not_calibrated;no_sampling_confidence_interval;catalogue_specificity_not_background_verified;genome_size_treated_as_fixed;biological_divergence_and_sequencing_error_not_separable
