panel	sample_id	category	metric	value	count
F	morex_10mb	83	period_bp	70	NA
F	morex_10mb	84	period_bp	70	NA
F	morex_10mb	85	period_bp	70	NA
F	morex_10mb	86	period_bp	59	NA
F	morex_10mb	87	period_bp	44	NA
F	morex_100mb	1	period_bp	40	NA
F	morex_100mb	2	period_bp	259	NA
F	morex_100mb	3	period_bp	82	NA
F	morex_100mb	4	period_bp	73	NA
F	morex_100mb	5	period_bp	70	NA
F	morex_100mb	6	period_bp	73	NA
F	morex_100mb	7	period_bp	397	NA
F	morex_100mb	8	period_bp	47	NA
F	morex_100mb	9	period_bp	71	NA
F	morex_100mb	10	period_bp	141	NA
F	morex_100mb	11	period_bp	377	NA
F	morex_100mb	12	period_bp	675	NA
F	morex_100mb	13	period_bp	402	NA
F	morex_100mb	14	period_bp	675	NA
F	morex_100mb	15	period_bp	259	NA
F	morex_100mb	16	period_bp	42	NA
F	morex_100mb	17	period_bp	76	NA
F	morex_100mb	18	period_bp	48	NA
F	morex_100mb	19	period_bp	46	NA
F	morex_100mb	20	period_bp	70	NA
F	morex_100mb	21	period_bp	82	NA
F	morex_100mb	22	period_bp	410	NA
F	morex_100mb	23	period_bp	70	NA
F	morex_100mb	24	period_bp	64	NA
F	morex_100mb	25	period_bp	72	NA
F	morex_100mb	26	period_bp	675	NA
F	morex_100mb	27	period_bp	139	NA
F	morex_100mb	28	period_bp	46	NA
F	morex_100mb	29	period_bp	675	NA
F	morex_100mb	30	period_bp	70	NA
F	morex_100mb	31	period_bp	141	NA
F	morex_100mb	32	period_bp	68	NA
F	morex_100mb	33	period_bp	71	NA
F	morex_100mb	34	period_bp	70	NA
F	morex_100mb	35	period_bp	70	NA
F	morex_100mb	36	period_bp	71	NA
F	morex_100mb	37	period_bp	141	NA
F	morex_100mb	38	period_bp	60	NA
F	morex_100mb	39	period_bp	53	NA
F	morex_100mb	40	period_bp	141	NA
F	morex_100mb	41	period_bp	71	NA
F	morex_100mb	42	period_bp	70	NA
F	morex_100mb	43	period_bp	393	NA
F	morex_100mb	44	period_bp	71	NA
F	morex_100mb	45	period_bp	675	NA
F	morex_100mb	46	period_bp	675	NA
F	morex_100mb	47	period_bp	61	NA
F	morex_100mb	48	period_bp	675	NA
F	morex_100mb	49	period_bp	61	NA
F	morex_100mb	50	period_bp	675	NA
F	morex_100mb	51	period_bp	675	NA
F	morex_100mb	52	period_bp	61	NA
F	morex_100mb	53	period_bp	80	NA
F	morex_100mb	54	period_bp	61	NA
F	morex_100mb	55	period_bp	141	NA
F	morex_100mb	56	period_bp	70	NA
F	morex_100mb	57	period_bp	65	NA
F	morex_100mb	58	period_bp	70	NA
F	morex_100mb	59	period_bp	56	NA
F	morex_100mb	60	period_bp	675	NA
F	morex_100mb	61	period_bp	675	NA
F	morex_100mb	62	period_bp	700	NA
F	morex_100mb	63	period_bp	54	NA
F	morex_100mb	64	period_bp	55	NA
F	morex_100mb	65	period_bp	54	NA
F	morex_100mb	66	period_bp	50	NA
F	morex_100mb	67	period_bp	49	NA
F	morex_100mb	68	period_bp	82	NA
F	morex_100mb	69	period_bp	70	NA
F	morex_100mb	70	period_bp	71	NA
F	morex_100mb	71	period_bp	70	NA
F	morex_100mb	72	period_bp	71	NA
F	morex_100mb	73	period_bp	48	NA
F	morex_100mb	74	period_bp	700	NA
F	morex_100mb	75	period_bp	47	NA
F	morex_100mb	76	period_bp	41	NA
F	morex_100mb	77	period_bp	141	NA
F	morex_100mb	78	period_bp	44	NA
F	morex_100mb	79	period_bp	139	NA
F	morex_100mb	80	period_bp	410	NA
F	morex_100mb	81	period_bp	139	NA
F	morex_100mb	82	period_bp	675	NA
F	morex_100mb	83	period_bp	70	NA
F	morex_100mb	84	period_bp	70	NA
F	morex_100mb	85	period_bp	70	NA
F	morex_100mb	86	period_bp	59	NA
F	morex_100mb	87	period_bp	44	NA
F	morex_100mb	88	period_bp	45	NA
F	morex_100mb	89	period_bp	44	NA
F	morex_100mb	90	period_bp	48	NA
F	morex_100mb	91	period_bp	42	NA
