seed	condition_id	coverage	error_model	substitution_rate	insertion_rate	deletion_rate	unit_substitution_rate	period	requested_gc	founder_gc	array_scope	source_coverage	observed_coverage	read_count	total_bases	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
6301	condition_001	1	error_free	0	0	0	0.0	171	0.3	0.30409356725146197	factorial	1.0007148	1.0007148	722	10007148	f031	200	88.9364	-0.555318	0.555318	88.9364	88.9364	False	0.0	89.11174152365014	-0.5544412923817493	-0.0008767076182506628	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.3	0.3567251461988304	factorial	1.0007148	1.0007148	722	10007148	f032	200	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.5	0.5614035087719298	factorial	1.0007148	1.0007148	722	10007148	f033	200	129.9071	-0.35046449999999996	0.35046449999999996	129.9071	130.9064	False	0.004996499999999884	130.36880068536368	-0.3481559965731816	-0.0023085034268183337	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.5	0.47953216374269003	factorial	1.0007148	1.0007148	722	10007148	f034	200	120.9136	-0.395432	0.395432	111.92	129.9071	False	0.08993550000000006	182.25568854610796	-0.0887215572694602	-0.3067104427305398	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	171	0.7	0.7134502923976608	factorial	1.0007148	1.0007148	722	10007148	f035	200	265.81	0.32905	0.32905	264.8107	266.8093	False	0.009993000000000052	266.62812766463776	0.3331406383231888	-0.0040906383231887845	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	171	0.7	0.7309941520467836	factorial	1.0007148	1.0007148	722	10007148	f036	200	116.9164	-0.415418	0.415418	106.9236	128.9079	False	0.10992150000000009	184.9847319779097	-0.07507634011045156	-0.34034165988954845	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.3	0.2755344418052256	factorial	1.0007148	1.0007148	722	10007148	f037	20	37.9729	0.8986450000000001	0.8986450000000001	36.9736	37.9729	False	0.04996500000000026	37.58596015900376	0.8792980079501881	0.01934699204981207	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.3	0.30641330166270786	factorial	1.0007148	1.0007148	722	10007148	f038	20	33.9757	0.6987850000000002	0.6987850000000002	28.9793	39.9714	False	0.5496050000000002	47.94197810492946	1.397098905246473	-0.6983139052464729	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.5	0.47743467933491684	factorial	1.0007148	1.0007148	722	10007148	f039	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.5	0.4916864608076009	factorial	1.0007148	1.0007148	722	10007148	f040	20	3.9971	-0.800145	0.800145	2.9979	5.9957	False	0.14989000000000002	6.755266347491299	-0.6622366826254351	-0.13790831737456494	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.7	0.6864608076009501	factorial	1.0007148	1.0007148	722	10007148	f041	20	19.9857	-0.0007149999999999324	0.0007149999999999324	19.9857	21.9843	True	0.09992999999999999	20.693047089750223	0.03465235448751116	-0.03536735448751109	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.7	0.7339667458432304	factorial	1.0007148	1.0007148	722	10007148	f042	20	17.9871	-0.10064499999999992	0.10064499999999992	13.99	21.9843	True	0.39971500000000004	29.159679226609487	0.45798396133047437	-0.5586289613304742	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.3	0.30403800475059384	factorial	1.0007148	1.0007148	722	10007148	f043	80	22.9836	-0.712705	0.712705	21.9843	22.9836	False	0.012491249999999976	22.603795301180476	-0.717452558735244	0.00474755873524404	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.3	0.2850356294536817	factorial	1.0007148	1.0007148	722	10007148	f044	80	61.9557	-0.22555375	0.22555375	52.9621	70.9493	False	0.22483999999999993	90.04252596348644	0.1255315745435805	-0.3510853245435805	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.5	0.5106888361045131	factorial	1.0007148	1.0007148	722	10007148	f045	80	62.955	-0.21306250000000002	0.21306250000000002	61.9557	63.9543	False	0.02498250000000004	62.817330950933666	-0.21478336311332918	0.0017208631133291518	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.5	0.47743467933491684	factorial	1.0007148	1.0007148	722	10007148	f046	80	35.9743	-0.55032125	0.55032125	29.9786	41.97	False	0.14989249999999998	54.39342361880204	-0.3200822047649745	-0.2302390452350255	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.7	0.6935866983372921	factorial	1.0007148	1.0007148	722	10007148	f047	80	119.9143	0.49892875	0.49892875	117.9157	120.9136	False	0.037473750000000014	120.06619568569917	0.5008274460712396	-0.0018986960712396694	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.7	0.672209026128266	factorial	1.0007148	1.0007148	722	10007148	f048	80	31.9771	-0.60028625	0.60028625	26.9807	36.9736	False	0.12491124999999999	50.25386476074693	-0.3718266904906634	-0.2284595595093366	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.3	0.3254156769596199	factorial	1.0007148	1.0007148	722	10007148	f049	200	317.7729	0.5888645	0.5888645	315.7743	319.7714	False	0.01998550000000023	318.44221123662425	0.5922110561831212	-0.003346556183121265	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.3	0.29453681710213775	factorial	1.0007148	1.0007148	722	10007148	f050	200	109.9214	-0.450393	0.450393	101.9271	118.915	False	0.08493950000000006	166.29443440099803	-0.16852782799500987	-0.2818651720049901	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.5	0.48693586698337293	factorial	1.0007148	1.0007148	722	10007148	f051	200	41.97	-0.79015	0.79015	40.9707	41.97	False	0.0049964999999999905	41.599718203138615	-0.7920014089843069	0.0018514089843069215	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.5	0.5106888361045131	factorial	1.0007148	1.0007148	722	10007148	f052	200	156.8879	-0.2155605	0.2155605	140.8993	172.8764	False	0.1598854999999999	234.79653798096953	0.17398268990484766	-0.38954318990484765	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.0	421	0.7	0.7078384798099763	factorial	1.0007148	1.0007148	722	10007148	f053	200	229.8357	0.14917850000000002	0.14917850000000002	228.8364	231.8343	False	0.014989500000000077	230.6356167205506	0.15317808360275292	-0.003999583602752921	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.02	421	0.7	0.6793349168646081	factorial	1.0007148	1.0007148	722	10007148	f054	200	176.8736	-0.11563199999999994	0.11563199999999994	166.8807	188.865	False	0.10992150000000009	273.343806246345	0.3667190312317251	-0.48235103123172507	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_001	1	error_free	0	0	0	0.01	171	0.5	0.5906432748538012	megabase	1.0007148	1.0007148	722	10007148	megabase_171	6000	3887.2214	-0.3521297666666667	0.3521297666666667	3856.2436	3928.1921	False	0.011991416666666737	4836.198056389527	-0.19396699060174555	-0.15816277606492113	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.0	61	0.3	0.2786885245901639	factorial	1.0007148	1.0007387	722	10007387	f001	20	53.9601	1.6980049999999998	1.6980049999999998	51.9616	55.9587	False	0.19985500000000017	59.95714263444491	1.9978571317222453	-0.29985213172224545	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.02	61	0.3	0.29508196721311475	factorial	1.0007148	1.0007387	722	10007387	f002	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.0	61	0.5	0.5409836065573771	factorial	1.0007148	1.0007387	722	10007387	f003	20	97.9277	3.896385	3.896385	95.9291	99.9262	False	0.19985499999999945	107.33311435543251	4.366655717771626	-0.4702707177716256	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.02	61	0.5	0.4918032786885246	factorial	1.0007148	1.0007387	722	10007387	f004	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.0	61	0.7	0.7540983606557377	factorial	1.0007148	1.0007387	722	10007387	f005	20	18.986	-0.05069999999999997	0.05069999999999997	17.9867	19.9852	False	0.099925	19.985714211481636	-0.0007142894259182242	-0.04998571057408174	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.02	61	0.7	0.6721311475409836	factorial	1.0007148	1.0007387	722	10007387	f006	20	0.0	-1.0	1.0	0.0	0.0	False	0.0	0.0	-1.0	0.0	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.0	61	0.3	0.2786885245901639	factorial	1.0007148	1.0007387	722	10007387	f007	80	62.9535	-0.21308125000000003	0.21308125000000003	59.9557	63.9528	False	0.04996375000000004	68.73775150112864	-0.140778106235892	-0.07230314376410804	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.02	61	0.3	0.32786885245901637	factorial	1.0007148	1.0007387	722	10007387	f008	80	59.9557	-0.25055375	0.25055375	56.9579	67.9498	False	0.13739874999999993	107.07100662806883	0.33838758285086035	-0.5889413328508604	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.0	61	0.5	0.36065573770491804	factorial	1.0007148	1.0007387	722	10007387	f009	80	56.9579	-0.28802625	0.28802625	52.9609	56.9579	False	0.0499625	57.95857121329674	-0.27551785983379073	-0.01250839016620926	diagnostic_kmer_10_90_spread_not_sampling_CI
6301	condition_002	1	iid_low_indel	0.001	0.001	0.001	0.02	61	0.5	0.5901639344262295	factorial	1.0007148	1.0007387	722	10007387	f010	80	110.9181	0.38647624999999997	0.38647624999999997	98.9269	123.9085	False	0.31227	187.53807892872277	1.3442259866090347	-0.9577497366090346	diagnostic_kmer_10_90_spread_not_sampling_CI
