panel	record_type	family_id	group	metric	threshold_bp	normalization	state	x_value	y_value	numerator	denominator	value	warning
D	confusion_count			FP	5000					2	62	2	predeclared_threshold_sensitivity
D	confusion_count			FP	15000					0	19	0	predeclared_threshold_sensitivity
D	confusion_count			FP	50000					0	6	0	predeclared_threshold_sensitivity
E	metric_with_wilson95			Sensitivity		total_bases		0.6755924351161198	1.0		19	1.0	same_reads_not_biological_replicates
E	metric_with_wilson95			Precision		total_bases		0.6755924351161198	1.0		19	1.0	same_reads_not_biological_replicates
E	metric_with_wilson95			False-positive rate		total_bases		0.0	0.2588329669680317		19	0.0	same_reads_not_biological_replicates
E	metric_with_wilson95			Sensitivity		depth107		0.6755924351161198	1.0		19	1.0	same_reads_not_biological_replicates
E	metric_with_wilson95			Precision		depth107		0.6755924351161198	1.0		19	1.0	same_reads_not_biological_replicates
E	metric_with_wilson95			False-positive rate		depth107		0.0	0.2588329669680317		19	0.0	same_reads_not_biological_replicates
F	orthogonal_context_fraction		reference_collapse	Author annotation overlap							8	1.0	annotation_is_posthoc;alignment_is_context_not_independent_copy_truth
F	orthogonal_context_fraction		reference_collapse	Same-chromosome primary alignment coverage							8	0.7075976723930666	annotation_is_posthoc;alignment_is_context_not_independent_copy_truth
F	orthogonal_context_fraction		other_reference_state	Author annotation overlap							11	0.2727272727272727	annotation_is_posthoc;alignment_is_context_not_independent_copy_truth
F	orthogonal_context_fraction		other_reference_state	Same-chromosome primary alignment coverage							11	1.0	annotation_is_posthoc;alignment_is_context_not_independent_copy_truth
