read_id	start	end	period	sequence	family_id
r000001233	8115	14624	421		
r000001236	0	16372	171		
r000001238	4852	14956	171		
r000001240	0	11372	171		
r000001244	10584	12786	421		
r000001245	0	17325	171		
r000001248	0	14181	171		
r000001251	0	15187	171		
r000001254	0	14316	421		
r000001258	0	15873	171		
r000001261	4809	17236	421		
r000001262	0	12262	421		
r000001264	15941	23280	171		
r000001267	0	10809	421		
r000001269	4776	5998	61		
r000001276	0	17616	171		
r000001287	9758	16268	421		
r000001289	0	15064	421		
r000001290	0	3376	421		
r000001300	2	2617	421		
r000001302	155	14127	171		
r000001307	0	16097	171		
r000001308	0	8553	421		
r000001314	0	16172	421		
r000001315	0	19294	421		
r000001318	0	16126	171		
r000001319	0	11257	421		
r000001323	0	12743	171		
r000001325	0	4198	61		
r000001328	12332	13182	171		
r000001340	0	11327	421		
r000001341	0	11492	171		
r000001346	0	6829	171		
r000001347	0	5873	421		
r000001355	0	12291	171		
r000001363	0	8561	171		
r000001378	0	11052	421		
r000001380	0	12227	171		
r000001382	8641	14193	421		
r000001386	9036	13045	421		
r000001390	13807	16033	171		
r000001397	1	12144	171		
r000001401	0	14573	171		
r000001402	0	158	61		
r000001405	0	15766	421		
r000001407	0	15529	421		
r000001409	13589	14576	171		
r000001421	4	15045	421		
r000001430	0	16316	171		
r000001433	0	10402	171		
r000001435	7914	16351	421		
r000001441	0	14994	171		
r000001442	0	12247	171		
r000001443	0	4774	171		
r000001444	0	13517	171		
r000001452	8704	12739	171		
r000001455	0	5590	171		
r000001457	0	3426	61		
r000001467	0	12035	421		
r000001470	0	13318	421		
r000001471	0	14492	171		
r000001479	6547	13093	421		
r000001481	0	12849	171		
r000001485	142	10707	61		
r000001486	0	13801	171		
r000001491	12704	13870	421		
r000001497	0	7990	171		
r000001498	3983	16186	61		
r000001499	0	11166	171		
r000001503	0	12651	171		
r000001504	0	8180	421		
r000001507	0	11090	421		
r000001509	0	10406	421		
r000001521	0	16012	421		
r000001523	0	10822	171		
r000001525	0	13510	171		
r000001530	5944	12107	171		
r000001533	0	13487	421		
r000001535	0	11934	171		
r000001542	0	11461	171		
r000001545	0	13502	171		
r000001551	0	16694	421		
r000001560	7238	8459	61		
r000001564	0	16528	421		
r000001565	0	10988	171		
r000001566	0	16372	171		
r000001569	919	17386	421		
r000001573	16646	19242	171		
r000001574	0	17442	421		
r000001575	0	16344	421		
r000001583	0	15771	171		
r000001586	0	13094	421		
r000001597	0	16898	421		
r000001602	0	15523	171		
r000001605	0	16831	171		
r000001614	5528	8948	171		
r000001620	2193	5614	171		
r000001624	12420	12820	171		
r000001625	0	12561	171		
r000001629	0	10452	421		
r000001630	0	11675	421		
r000001638	0	12177	171		
r000001643	0	11811	171		
r000001644	2	9774	171		
r000001646	15550	21210	421		
r000001650	10792	13333	421		
r000001655	0	12805	171		
r000001656	6296	14294	421		
r000001658	0	16417	421		
r000001661	0	19558	171		
r000001663	0	11698	171		
r000001665	0	11637	171		
r000001669	0	10979	171		
r000001681	0	11000	171		
r000001682	0	7666	171		
r000001684	0	11273	421		
r000001688	4087	11422	421		
r000001691	0	12516	171		
r000001692	0	14627	421		
r000001693	0	5282	171		
r000001694	0	2848	421		
r000001695	6083	16787	421		
r000001700	0	16156	171		
r000001702	7687	10000	421		
r000001704	4730	10876	61		
r000001713	6751	16762	61		
r000001714	0	12575	171		
r000001720	0	11886	171		
r000001728	906	2136	61		
r000001730	10612	14032	171		
r000001735	0	16724	421		
r000001736	0	13022	171		
r000001739	0	11855	421		
r000001740	9167	10388	61		
r000001744	0	13929	421		
r000001749	0	13997	421		
r000001750	0	11802	171		
r000001757	0	16210	421		
r000001764	5309	18989	171		
r000001768	11067	14487	171		
r000001771	0	7601	61		
r000001773	0	10813	171		
r000001779	0	14354	171		
r000001780	8124	12472	421		
r000001781	0	12761	421		
r000001784	2464	13138	171		
r000001795	0	9806	421		
r000001796	0	13308	171		
r000001800	1	11713	171		
r000001803	0	11056	171		
r000001809	0	11733	171		
r000001819	0	12147	421		
r000001822	0	11116	171		
r000001825	0	13461	171		
r000001827	2795	7676	61		
r000001834	1	13143	171		
r000001842	5892	15867	421		
r000001853	0	15169	171		
r000001859	0	10572	421		
r000001864	0	10417	421		
r000001866	0	10925	171		
r000001868	2562	10692	171		
r000001869	0	16405	421		
r000001875	0	15027	171		
r000001877	6513	7734	61		
r000001879	0	13154	171		
r000001881	0	6566	171		
r000001882	0	11856	421		
r000001889	4561	7981	171		
r000001891	9776	9989	61		
r000001898	0	13672	421		
r000001899	0	13407	171		
r000001910	0	7901	421		
r000001912	0	15915	171		
r000001917	2	13161	171		
r000001921	0	463	171		
r000001930	0	7840	421		
r000001932	0	1331	61		
r000001937	1897	15932	421		
r000001951	0	14178	421		
r000001952	0	16824	171		
r000001953	958	4378	171		
r000001962	0	8322	171		
r000001965	0	3233	171		
r000001967	0	12548	171		
r000001969	0	12880	421		
r000001971	4939	17733	421		
r000001973	15130	16699	171		
r000001974	0	17796	171		
r000001979	9289	13504	421		
r000001980	0	11622	421		
r000001985	0	13322	171		
r000001987	0	12474	171		
r000001988	9429	10968	171		
r000001989	0	11537	171		
r000001994	0	2635	421		
r000001996	0	14558	171		
r000002002	1011	9255	61		
r000002005	0	11181	171		
r000002008	1577	9999	421		
r000002010	0	11373	421		
r000002014	0	12240	171		
r000002016	0	10858	171		
r000002020	0	12604	171		
r000002023	0	11938	421		
r000002025	4636	5858	61		
r000002027	0	12788	421		
r000002032	0	14877	171		
r000002035	0	4491	421		
r000002038	3	3796	421		
r000002043	9127	11798	171		
r000002045	0	9058	171		
r000002048	14019	16428	171		
r000002050	0	1534	171		
r000002053	0	15023	171		
r000002054	423	12644	61		
r000002055	0	15885	421		
r000002058	2794	4014	61		
