seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5702	0.01	1	500	iid_base	0.9	5	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	1	f1	1.0	False	1.8874	possible_overexpansion	False	TN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	1	f2	1.0	False	1.5154	possible_overexpansion	False	TN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	1	f3	1.0	False	1.6035	possible_overexpansion	False	TN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.75	f1	0.75	False	1.4159	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.75	f2	0.75	False	1.1387	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.75	f3	0.75	False	1.2024	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f1	0.5	True	0.9445	consistent	False	FN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f2	0.5	True	0.7579	consistent	False	FN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f3	0.5	True	0.8014	consistent	False	FN
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f1	0.25	True	0.473	possible_collapse	True	TP
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f2	0.25	True	0.3786	possible_collapse	True	TP
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f3	0.25	True	0.4003	possible_collapse	True	TP
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5702	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5702	0.01	1	500	iid_base	0.9	20	0	5000	1	f1	1.0	False	1.8963	possible_overexpansion	False	TN
5702	0.01	1	500	iid_base	0.9	20	0	5000	1	f2	1.0	False	1.2961	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	20	0	5000	1	f3	1.0	False	1.1746	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f1	0.75	False	1.4226	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f2	0.75	False	0.9739	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f3	0.75	False	0.8808	consistent	False	TN
5702	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f1	0.5	True	0.9489	consistent	False	FN
