unit_substitution_rate	array_fragments	coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
0.03	3	5	0	9	-0.4489496666666667	0.47474	0.4489496666666667	0	0.17880969444444444	0.05342459227311168	-0.5023742589397784
0.03	3	5	0.001	9	-0.45962166666666665	0.4897475	0.45962166666666665	0	0.17608616666666668	0.05342459227311168	-0.5130462589397784
0.03	3	5	0.01	9	-0.5567806111111111	0.5697875	0.5567806111111111	0	0.14579408333333335	0.05342459227311168	-0.6102052033842228
0.03	3	20	0	9	-0.48118808333333335	0.46573549999999997	0.48118808333333335	0	0.15471622222222223	-0.004004906166139935	-0.4771831771671934
0.03	3	20	0.001	9	-0.49234558333333334	0.47599125000000003	0.49234558333333334	0	0.15182461111111112	-0.004004906166139935	-0.48834067716719337
0.03	3	20	0.01	9	-0.5805285555555556	0.567536	0.5805285555555556	0	0.12553416666666667	-0.004004906166139935	-0.5765236493894157
0.05	1	1	0	9	-0.48234000000000005	0.6018	0.4924011111111111	0.2222222222222222	0.24057916666666668	0.48138118855134665	-0.9637211885513467
0.05	1	1	0.001	9	-0.5016969444444445	0.6018	0.5016969444444445	0.2222222222222222	0.228965	0.48138118855134665	-0.983078132995791
0.05	1	1	0.01	9	-0.5926745833333333	0.68144	0.5926745833333333	0.1111111111111111	0.189145	0.48138118855134665	-1.07405577188468
0.05	1	5	0	9	-0.62414475	0.623811	0.62414475	0	0.16447127777777776	0.08755686730458224	-0.7117016173045823
0.05	1	5	0.001	9	-0.63381625	0.6328155	0.63381625	0	0.1611918611111111	0.08755686730458224	-0.7213731173045823
0.05	1	5	0.01	9	-0.6920121944444444	0.695847	0.6920121944444444	0	0.13195527777777777	0.08755686730458224	-0.7795690617490266
0.05	1	20	0	9	-0.6471835	0.6408195000000001	0.6471835	0	0.14309930555555553	0.015295428771157728	-0.6624789287711578
0.05	1	20	0.001	9	-0.6539791666666667	0.6488235	0.6539791666666667	0	0.13804133333333332	0.015295428771157728	-0.6692745954378244
0.05	1	20	0.01	9	-0.7157326666666667	0.7101044999999999	0.7157326666666667	0	0.11345930555555557	0.015295428771157728	-0.7310280954378244
0.05	3	1	0	9	-0.5129951388888889	0.5958	0.5129951388888889	0.1111111111111111	0.22876597222222222	0.41423451923774424	-0.9272296581266332
0.05	3	1	0.001	9	-0.5292754166666667	0.6210625000000001	0.5292754166666667	0.1111111111111111	0.21922236111111112	0.41423451923774424	-0.9435099359044109
0.05	3	1	0.01	9	-0.6047822222222222	0.6816925	0.6047822222222222	0.1111111111111111	0.19424055555555556	0.41423451923774424	-1.0190167414599665
