seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	interval_low	interval_high	interval_contains_truth	interval_relative_width	sampling_oracle_copy_estimate	oracle_relative_error	estimator_minus_sampling_oracle	interval_kind
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	f1	20	14.147	-0.29264999999999997	0.29264999999999997	13.1365	18.189	False	0.252625	20.21	0.010500000000000042	-0.30315000000000003	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	f2	80	140.4595	0.7557437499999999	0.7557437499999999	131.365	151.575	False	0.25262499999999977	177.74163157894736	1.2217703947368421	-0.46602664473684213	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0.001	5000	f3	200	156.6275	-0.2168625	0.2168625	145.512	163.701	False	0.09094499999999997	193.77357600950117	-0.03113211995249415	-0.18573038004750586	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	f1	20	12.126	-0.39370000000000005	0.39370000000000005	10.105	14.147	False	0.2021	20.21	0.010500000000000042	-0.40420000000000006	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	f2	80	118.2285	0.47785625	0.47785625	111.155	128.3335	False	0.21473124999999982	177.74163157894736	1.2217703947368421	-0.743914144736842	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	1	0.01	5000	f3	200	128.3335	-0.35833250000000005	0.35833250000000005	119.239	135.407	False	0.08084000000000004	193.77357600950117	-0.03113211995249415	-0.3272003800475059	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0	5000	f1	20	15.0074	-0.24962999999999996	0.24962999999999996	13.4066	17.8088	False	0.2201100000000001	20.190318130173672	0.009515906508683614	-0.2591459065086836	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0	5000	f2	80	63.4314	-0.20710750000000006	0.20710750000000006	59.8296	68.4339	False	0.10755374999999993	78.48327832783278	-0.018959020902090274	-0.18814847909790977	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0	5000	f3	200	166.2823	-0.16858850000000003	0.16858850000000003	157.8781	175.4868	False	0.0880435	205.68181980668373	0.02840909903341867	-0.1969975990334187	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	f1	20	14.8073	-0.259635	0.259635	13.2065	17.4086	False	0.210105	20.190318130173672	0.009515906508683614	-0.2691509065086836	diagnostic_kmer_10_90_spread_not_sampling_CI
5701	0.01	3	500	iid_base	0.9	5	0.001	5000	f2	80	62.2308	-0.22211499999999998	0.22211499999999998	58.8291	67.4334	False	0.10755375000000011	78.48327832783278	-0.018959020902090274	-0.2031559790979097	diagnostic_kmer_10_90_spread_not_sampling_CI
