panel	dataset	metric	x	value	read_count
A	Full library (n=933,904)	length_bp	0.6920000000000001	0.000705639980126437	1
A	Full library (n=933,904)	length_bp	0.6990000000000001	0.000706710753996128	1
A	Full library (n=933,904)	length_bp	0.713	0.0007077815278658192	1
A	Full library (n=933,904)	length_bp	0.717	0.0007088523017355103	1
A	Full library (n=933,904)	length_bp	0.719	0.0007109938494748925	2
A	Full library (n=933,904)	length_bp	0.72	0.0007142061710839658	3
A	Full library (n=933,904)	length_bp	0.721	0.0007163477188233481	2
A	Full library (n=933,904)	length_bp	0.725	0.0007174184926930391	1
A	Full library (n=933,904)	length_bp	0.728	0.0007184892665627302	1
A	Full library (n=933,904)	length_bp	0.729	0.0007195600404324214	1
A	Full library (n=933,904)	length_bp	0.732	0.0007206308143021124	1
A	Full library (n=933,904)	length_bp	0.733	0.0007217015881718035	1
A	Full library (n=933,904)	length_bp	0.734	0.0007227723620414947	1
A	Full library (n=933,904)	length_bp	0.741	0.0007238431359111857	1
A	Full library (n=933,904)	length_bp	0.744	0.0007249139097808768	1
A	Full library (n=933,904)	length_bp	0.75	0.0007281262313899501	3
A	Full library (n=933,904)	length_bp	0.757	0.0007291970052596413	1
A	Full library (n=933,904)	length_bp	0.758	0.0007302677791293324	1
A	Full library (n=933,904)	length_bp	0.765	0.0007334801007384057	3
A	Full library (n=933,904)	length_bp	0.767	0.0007356216484777878	2
A	Full library (n=933,904)	length_bp	0.771	0.000736692422347479	1
A	Full library (n=933,904)	length_bp	0.773	0.0007377631962171701	1
A	Full library (n=933,904)	length_bp	0.775	0.0007388339700868611	1
A	Full library (n=933,904)	length_bp	0.779	0.0007399047439565523	1
A	Full library (n=933,904)	length_bp	0.78	0.0007409755178262434	1
A	Full library (n=933,904)	length_bp	0.781	0.0007420462916959344	1
A	Full library (n=933,904)	length_bp	0.783	0.0007431170655656256	1
A	Full library (n=933,904)	length_bp	0.788	0.0007441878394353167	1
A	Full library (n=933,904)	length_bp	0.79	0.0007452586133050077	1
A	Full library (n=933,904)	length_bp	0.793	0.0007463293871746989	1
A	Full library (n=933,904)	length_bp	0.794	0.00074740016104439	1
A	Full library (n=933,904)	length_bp	0.798	0.0007495417087837722	2
A	Full library (n=933,904)	length_bp	0.802	0.0007506124826534633	1
A	Full library (n=933,904)	length_bp	0.805	0.0007516832565231544	1
A	Full library (n=933,904)	length_bp	0.806	0.0007538248042625366	2
