family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000493	68.9662	54.0	54.0	54.0	0.7829922483767411	0.7829922483767411	1.0	14.9662	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000494	54.3183	150.0	150.0	150.0	2.761500267865526	2.761500267865526	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000495	82.7595	69.0	69.0	69.0	0.8337411415003715	0.8337411415003715	1.0	13.759500000000003	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000496	140.3198	347.0	347.0	347.0	2.4729225668793715	2.4729225668793715	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000497	134.1305	146.0	146.0	146.0	1.0884921773944032	1.0884921773944032	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000498	135.3389	140.0	140.0	140.0	1.0344402089864777	1.0344402089864777	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000499	77.7884	130.0	130.0	130.0	1.6712003332116359	1.6712003332116359	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000500	72.2083	146.0	146.0	146.0	2.021928227087468	2.021928227087468	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000501	53.2867	108.0	108.0	108.0	2.026772158906444	2.026772158906444	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000502	159.8209	252.0	252.0	252.0	1.5767649913121502	1.5767649913121502	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000503	36.2515	260.0	260.0	260.0	7.17211701584762	7.17211701584762	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000504	148.6999	142.0	142.0	142.0	0.9549434801233894	0.9549434801233894	1.0	6.699900000000014	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000505	89.1256	84.0	84.0	84.0	0.9424901487339215	0.9424901487339215	1.0	5.125600000000006	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000506	70.8132	143.0	143.0	143.0	2.019397513457943	2.019397513457943	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000507	75.6074	163.0	163.0	163.0	2.155873631417031	2.155873631417031	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000508	42.8829	68.0	68.0	68.0	1.5857136527613571	1.5857136527613571	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000509	150.9595	159.0	159.0	159.0	1.0532626300431573	1.0532626300431573	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000510	74.8804	81.0	81.0	81.0	1.0817249907853057	1.0817249907853057	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000511	153.3959	147.0	147.0	147.0	0.9583046222226278	0.9583046222226278	1.0	6.395900000000012	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000512	40.977	0.0	0.0	0.0	0.0	0.0	NA	40.977	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000513	148.8374	141.0	141.0	141.0	0.9473425362173754	0.9473425362173754	1.0	7.837400000000002	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000514	87.3572	147.0	147.0	147.0	1.6827462418667263	1.6827462418667263	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000515	235.7231	196.0	196.0	196.0	0.8314840590506404	0.8314840590506404	1.0	39.72309999999999	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000516	113.0575	132.0	132.0	132.0	1.1675474868982596	1.1675474868982596	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000517	71.6777	143.0	143.0	143.0	1.9950416935811277	1.9950416935811277	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000518	68.0821	188.0	188.0	188.0	2.761371931829365	2.761371931829365	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000519	47.1171	67.0	67.0	67.0	1.4219890443172436	1.4219890443172436	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000520	72.4146	133.0	133.0	133.0	1.8366462011804252	1.8366462011804252	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000521	124.041	120.0	120.0	120.0	0.9674220620601253	0.9674220620601253	1.0	4.040999999999997	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000522	62.1875	68.0	68.0	68.0	1.0934673366834171	1.0934673366834171	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000523	21.9572	67.0	67.0	67.0	3.0513908877270324	3.0513908877270324	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000524	95.5408	137.0	137.0	137.0	1.4339423576105705	1.4339423576105705	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000525	60.036	238.0	238.0	238.0	3.96428809381038	3.96428809381038	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000526	165.8137	153.0	153.0	153.0	0.9227223082290545	0.9227223082290545	1.0	12.813700000000011	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000527	0.0	91.0	91.0	91.0	NA	NA	1.0	0.0	0.0	reference_retained	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000528	38.6977	96.0	96.0	96.0	2.4807675908387323	2.4807675908387323	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000529	52.5204	56.0	56.0	56.0	1.0662523514672393	1.0662523514672393	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000530	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000531	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000532	63.2682	93.0	93.0	93.0	1.4699327624304153	1.4699327624304153	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000533	0.0	154.0	154.0	154.0	NA	NA	1.0	0.0	0.0	reference_retained	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000534	48.0897	60.0	60.0	60.0	1.2476684196407963	1.2476684196407963	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000535	38.5504	55.0	55.0	55.0	1.4267037436706234	1.4267037436706234	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000536	34.7386	129.0	129.0	129.0	3.713448440639519	3.713448440639519	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000537	341.9724	479.0	479.0	479.0	1.4006978340942136	1.4006978340942136	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000538	37.4795	93.0	93.0	93.0	2.4813564748729307	2.4813564748729307	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000539	105.5714	109.0	109.0	109.0	1.0324765987758049	1.0324765987758049	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000540	35.0136	53.0	53.0	53.0	1.5136975346722419	1.5136975346722419	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000541	37.843	73.0	73.0	73.0	1.9290225404962607	1.9290225404962607	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000542	58.4543	72.0	72.0	72.0	1.2317314551709626	1.2317314551709626	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000543	146.1357	347.0	347.0	347.0	2.374505339899833	2.374505339899833	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000544	37.3125	89.0	89.0	89.0	2.3852596314907872	2.3852596314907872	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000545	41.419	78.0	78.0	78.0	1.8831937033728483	1.8831937033728483	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000546	62.384	69.0	69.0	69.0	1.1060528340600153	1.1060528340600153	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000547	56.9807	94.0	94.0	94.0	1.649681383345589	1.649681383345589	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000548	48.7283	86.0	86.0	86.0	1.7648881656039714	1.7648881656039714	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000549	56.7351	102.0	102.0	102.0	1.797828857268252	1.797828857268252	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000550	96.1401	86.0	86.0	86.0	0.8945278817059686	0.8945278817059686	1.0	10.140100000000004	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000551	30.4748	50.0	50.0	50.0	1.6406998569309725	1.6406998569309725	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000552	43.0302	45.0	45.0	45.0	1.0457771518607861	1.0457771518607861	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000553	46.3213	45.0	45.0	45.0	0.9714753256061466	0.9714753256061466	1.0	1.3213000000000008	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000554	368.4684	384.0	384.0	384.0	1.04215178289373	1.04215178289373	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000555	29.3647	0.0	0.0	0.0	0.0	0.0	NA	29.3647	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000556	9478.6444	43873.0	55082.0	55082.0	4.628615458978501	5.8111685253220395	0.7965033949384553	0.0	11209.0	reference_retained	predicted_old_excess	eligible	evaluated	TN
TXF000557	4598.2508	8172.0	8172.0	8172.0	1.7771975378115523	1.7771975378115523	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000558	1336.0982	0.0	0.0	0.0	0.0	0.0	NA	1336.0982	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000559	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000560	1647.8021	7590.0	7590.0	7590.0	4.606135651847998	4.606135651847998	1.0	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000561	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000562	2553.0774	3442.0	3442.0	3442.0	1.3481769099518879	1.3481769099518879	1.0	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
