tandemx_length_bp	recurrent_exact_unmatched_query_count	direct_length_eligible_pair_count	integer_multiple_length_eligible_pair_count	length_eligible_pair_union_count
356	4	144844	1666236	1811080
357	2	72324	845396	917720
358	6	216432	2552604	2769036
359	4	143776	1701716	1845492
360	8	294384	3508576	3802960
361	6	220032	2661060	2881092
362	4	146808	1732968	1879776
363	2	73916	852898	926814
364	3	111921	1275855	1387776
365	6	225690	2754990	2980680
366	2	75518	912114	987632
367	2	75524	915770	991294
368	4	151568	1801540	1953108
369	2	78068	893580	971648
370	1	40441	434142	474583
371	3	124695	1362546	1487241
372	1	42669	440108	482777
373	4	173500	1815872	1989372
374	5	218675	2258680	2477355
375	4	176080	1751168	1927248
376	2	89076	880870	969946
377	3	134577	1385730	1520307
378	1	46187	461894	508081
379	3	139818	1229433	1369251
380	2	94454	896492	990946
381	3	141918	1337157	1479075
382	3	141855	1359045	1500900
383	2	94374	837518	931892
384	3	141147	1256826	1397973
385	1	46886	411266	458152
386	3	140313	1263195	1403508
387	3	140343	1152924	1293267
388	1	46696	398765	445461
389	6	279318	2348076	2627394
390	2	93696	796510	890206
391	3	140016	1133724	1273740
392	2	93108	768628	861736
393	4	185748	1573692	1759440
394	4	185184	1616312	1801496
395	1	46167	395685	441852
397	2	92920	765894	858814
398	2	93118	767390	860508
399	4	186724	1686996	1873720
400	3	141483	1235880	1377363
402	2	94142	833544	927686
403	2	93836	856784	950620
404	3	139578	1192785	1332363
405	3	136455	1188144	1324599
406	3	134994	1222068	1357062
408	1	43681	395447	439128
409	2	82944	815890	898834
410	1	42363	393311	435674
411	2	83968	872894	956862
412	1	41921	413650	455571
413	1	41902	422929	464831
416	4	175308	1617684	1792992
417	5	218775	2067350	2286125
418	1	43759	437246	481005
419	3	131130	1335888	1467018
420	1	43994	446192	490186
422	4	175936	1737204	1913140
423	2	88370	857102	945472
424	2	88176	858558	946734
425	4	175688	1689216	1864904
426	3	131262	1287840	1419102
427	1	43539	419232	462771
428	2	86722	898642	985364
432	2	86306	837618	923924
433	3	129129	1303695	1432824
434	2	85922	881660	967582
435	3	128667	1272219	1400886
437	2	85212	896922	982134
