stage	elapsed_seconds	rss_mib	process_count	scratch_bytes
smoke	3771.846120	21.906250	1	2607880
smoke	3772.077286	21.906250	1	2607880
smoke	3772.308317	21.906250	1	2607880
smoke	3772.538147	21.906250	1	2607880
smoke	3772.769353	21.906250	1	2607880
smoke	3773.000492	21.906250	1	2607880
smoke	3773.230902	21.906250	1	2607880
smoke	3773.459308	21.906250	1	2607880
smoke	3773.690368	21.906250	1	2607880
smoke	3773.921000	21.906250	1	2607880
smoke	3774.151514	21.906250	1	2607880
smoke	3774.382051	21.906250	1	2607880
smoke	3774.608596	21.906250	1	2607880
smoke	3774.839591	21.906250	1	2607880
smoke	3775.069903	21.906250	1	2607880
smoke	3775.300333	21.906250	1	2607880
smoke	3775.530134	21.906250	1	2607880
smoke	3775.760599	21.906250	1	2607880
smoke	3775.991256	21.906250	1	2607880
smoke	3776.221701	21.906250	1	2607880
smoke	3776.452701	21.906250	1	2607880
smoke	3776.683216	21.906250	1	2607880
smoke	3776.915182	21.906250	1	2607880
smoke	3777.142045	21.906250	1	2607880
smoke	3777.372680	21.906250	1	2607880
smoke	3777.602848	21.906250	1	2607880
smoke	3777.830441	21.906250	1	2607880
smoke	3778.061266	21.906250	1	2607880
smoke	3778.293767	21.906250	1	2607880
smoke	3778.524175	21.906250	1	2607880
smoke	3778.754840	21.906250	1	2607880
smoke	3778.984954	21.906250	1	2607880
smoke	3779.213618	21.906250	1	2607880
smoke	3779.443904	21.906250	1	2607880
smoke	3779.674918	21.906250	1	2607880
smoke	3779.906108	21.906250	1	2607880
smoke	3780.136568	21.906250	1	2607880
smoke	3780.367781	21.906250	1	2607880
smoke	3780.598214	21.906250	1	2607880
smoke	3780.826203	21.906250	1	2607880
smoke	3781.056786	21.906250	1	2607880
smoke	3781.287645	21.906250	1	2607880
smoke	3781.519993	21.906250	1	2607880
smoke	3781.752184	21.906250	1	2607880
smoke	3781.978658	21.906250	1	2607880
smoke	3782.205660	21.906250	1	2607880
smoke	3782.436110	21.906250	1	2607880
smoke	3782.667027	21.906250	1	2607880
smoke	3782.898140	21.906250	1	2607880
smoke	3783.132311	21.906250	1	2607880
smoke	3783.363239	21.906250	1	2607880
smoke	3783.593615	21.906250	1	2607880
smoke	3783.831608	21.906250	1	2607880
smoke	3784.073505	21.906250	1	2607880
smoke	3784.306319	21.906250	1	2607880
smoke	3784.537369	21.906250	1	2607880
smoke	3784.768894	21.906250	1	2607880
smoke	3785.000707	21.906250	1	2607880
smoke	3785.234108	21.906250	1	2607880
smoke	3785.465556	21.906250	1	2607880
smoke	3785.692738	21.906250	1	2607880
smoke	3785.924587	21.906250	1	2607880
smoke	3786.155311	21.906250	1	2607880
smoke	3786.387351	21.906250	1	2607880
smoke	3786.621479	21.906250	1	2607880
smoke	3786.854566	21.906250	1	2607880
smoke	3787.090009	21.906250	1	2607880
smoke	3787.323033	21.906250	1	2607880
smoke	3787.558032	21.906250	1	2607880
smoke	3787.789205	21.906250	1	2607880
smoke	3788.020256	21.906250	1	2607880
smoke	3788.252870	21.906250	1	2607880
smoke	3788.486398	21.906250	1	2607880
smoke	3788.718231	21.906250	1	2607880
smoke	3788.949775	21.906250	1	2607880
smoke	3789.180766	21.906250	1	2607880
smoke	3789.410466	21.906250	1	2607880
smoke	3789.642853	21.906250	1	2607880
smoke	3789.871855	21.906250	1	2607880
smoke	3790.098422	21.906250	1	2607880
smoke	3790.330160	21.906250	1	2607880
smoke	3790.561700	21.906250	1	2607880
smoke	3790.788048	21.906250	1	2607880
smoke	3791.020549	21.906250	1	2607880
smoke	3791.251477	21.906250	1	2607880
smoke	3791.479698	21.906250	1	2607880
smoke	3791.716719	21.906250	1	2607880
smoke	3791.948122	21.906250	1	2607880
smoke	3792.182380	21.906250	1	2607880
smoke	3792.410463	21.906250	1	2607880
smoke	3792.640055	21.906250	1	2607880
smoke	3792.871492	21.906250	1	2607880
smoke	3793.103096	21.906250	1	2607880
smoke	3793.334675	21.906250	1	2607880
smoke	3793.566853	21.906250	1	2607880
smoke	3793.795949	21.906250	1	2607880
smoke	3794.027597	21.906250	1	2607880
smoke	3794.259947	21.906250	1	2607880
smoke	3794.487256	21.906250	1	2607880
smoke	3794.719966	21.906250	1	2607880
smoke	3794.949306	21.906250	1	2607880
smoke	3795.181649	21.906250	1	2607880
smoke	3795.409691	21.906250	1	2607880
smoke	3795.640921	21.906250	1	2607880
smoke	3795.872639	21.906250	1	2607880
smoke	3796.107113	21.906250	1	2607880
smoke	3796.340952	21.906250	1	2607880
smoke	3796.570558	21.906250	1	2607880
smoke	3796.800834	21.906250	1	2607880
smoke	3797.030574	21.906250	1	2607880
smoke	3797.263883	21.906250	1	2607880
smoke	3797.492880	21.906250	1	2607880
smoke	3797.722632	21.906250	1	2607880
smoke	3797.954861	21.906250	1	2607880
smoke	3798.182700	21.906250	1	2607880
smoke	3798.416446	21.906250	1	2607880
smoke	3798.647625	21.906250	1	2607880
smoke	3798.878921	21.906250	1	2607880
smoke	3799.110363	21.906250	1	2607880
smoke	3799.341054	21.906250	1	2607880
smoke	3799.572233	21.906250	1	2607880
smoke	3799.803840	21.906250	1	2607880
smoke	3800.035549	21.906250	1	2607880
smoke	3800.264315	21.906250	1	2607880
smoke	3800.492667	21.906250	1	2607880
smoke	3800.723768	21.906250	1	2607880
smoke	3800.956439	21.906250	1	2607880
smoke	3801.187618	21.906250	1	2607880
smoke	3801.418675	21.906250	1	2607880
smoke	3801.649680	21.906250	1	2607880
smoke	3801.877359	21.906250	1	2607880
smoke	3802.105863	21.906250	1	2607880
smoke	3802.337356	21.906250	1	2607880
smoke	3802.567391	21.906250	1	2607880
smoke	3802.795535	21.906250	1	2607880
smoke	3803.027062	21.906250	1	2607880
smoke	3803.256166	21.906250	1	2607880
smoke	3803.488236	21.906250	1	2607880
smoke	3803.720842	21.906250	1	2607880
smoke	3803.953885	21.906250	1	2607880
smoke	3804.185758	21.906250	1	2607880
smoke	3804.415805	21.906250	1	2607880
smoke	3804.647219	21.906250	1	2607880
smoke	3804.877858	21.906250	1	2607880
smoke	3805.110121	21.906250	1	2607880
smoke	3805.341956	21.906250	1	2607880
smoke	3805.571265	21.906250	1	2607880
smoke	3805.802480	21.906250	1	2607880
smoke	3806.034757	21.906250	1	2607880
smoke	3806.266454	21.906250	1	2607880
smoke	3806.498043	21.906250	1	2607880
smoke	3806.729331	21.906250	1	2607880
smoke	3806.961027	21.906250	1	2607880
smoke	3807.187717	21.906250	1	2607880
smoke	3807.420461	21.906250	1	2607880
smoke	3807.652137	21.906250	1	2607880
smoke	3807.879581	21.906250	1	2607880
smoke	3808.112226	21.906250	1	2607880
smoke	3808.343789	21.906250	1	2607880
smoke	3808.575330	21.906250	1	2607880
smoke	3808.806496	21.906250	1	2607880
smoke	3809.037635	21.906250	1	2607880
smoke	3809.272748	21.906250	1	2607880
smoke	3809.502034	21.906250	1	2607880
smoke	3809.732882	21.906250	1	2607880
smoke	3809.964188	21.906250	1	2607880
smoke	3810.198413	21.906250	1	2607880
smoke	3810.428078	21.906250	1	2607880
smoke	3810.658079	21.906250	1	2607880
smoke	3810.888603	21.906250	1	2607880
smoke	3811.120145	21.906250	1	2607880
smoke	3811.351344	21.906250	1	2607880
smoke	3811.579177	21.906250	1	2607880
smoke	3811.806235	21.906250	1	2607880
smoke	3812.037351	21.906250	1	2607880
smoke	3812.270116	21.906250	1	2607880
smoke	3812.501844	21.906250	1	2607880
smoke	3812.730123	21.906250	1	2607880
smoke	3812.961268	21.906250	1	2607880
smoke	3813.192756	21.906250	1	2607880
smoke	3813.420802	21.906250	1	2607880
smoke	3813.652135	21.906250	1	2607880
smoke	3813.883372	21.906250	1	2607880
smoke	3814.113968	21.906250	1	2607880
smoke	3814.344253	21.906250	1	2607880
smoke	3814.572853	21.906250	1	2607880
smoke	3814.800611	21.906250	1	2607880
smoke	3815.034237	21.906250	1	2607880
smoke	3815.265827	21.906250	1	2607880
smoke	3815.498193	21.906250	1	2607880
smoke	3815.729548	21.906250	1	2607880
smoke	3815.961661	21.906250	1	2607880
smoke	3816.194258	21.906250	1	2607880
smoke	3816.428918	21.906250	1	2607880
smoke	3816.662840	21.906250	1	2607880
smoke	3816.894188	21.906250	1	2607880
smoke	3817.120321	21.906250	1	2607880
smoke	3817.354845	21.906250	1	2607880
smoke	3817.591897	21.906250	1	2607880
smoke	3817.823139	21.906250	1	2607880
smoke	3818.053766	21.906250	1	2607880
smoke	3818.284673	21.906250	1	2607880
smoke	3818.516205	21.906250	1	2607880
smoke	3818.746670	21.906250	1	2607880
smoke	3818.976029	21.906250	1	2607880
smoke	3819.207347	21.906250	1	2607880
smoke	3819.437628	21.906250	1	2607880
smoke	3819.668138	21.906250	1	2607880
smoke	3819.895838	21.906250	1	2607880
smoke	3820.126409	21.906250	1	2607880
smoke	3820.353615	21.906250	1	2607880
smoke	3820.580403	21.906250	1	2607880
smoke	3820.811199	21.906250	1	2607880
smoke	3821.044105	21.906250	1	2607880
smoke	3821.274778	21.906250	1	2607880
smoke	3821.504713	21.906250	1	2607880
smoke	3821.738034	21.906250	1	2607880
smoke	3821.972740	21.906250	1	2607880
smoke	3822.205960	21.906250	1	2607880
smoke	3822.433309	21.906250	1	2607880
smoke	3822.664579	21.906250	1	2607880
smoke	3822.896106	21.906250	1	2607880
smoke	3823.127892	21.906250	1	2607880
smoke	3823.361028	21.906250	1	2607880
smoke	3823.590245	21.906250	1	2607880
smoke	3823.820598	21.906250	1	2607880
smoke	3824.050432	21.906250	1	2607880
smoke	3824.281968	21.906250	1	2607880
