seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f2	0.5	True	0.7933	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0.5	f3	0.5	True	0.7712	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f1	0.25	True	0.8953	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f2	0.25	True	0.3966	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0.25	f3	0.25	True	0.3855	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	5	0.01	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	1	f1	1.0	False	1.3382	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0	5000	1	f2	1.0	False	1.1609	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0	5000	1	f3	1.0	False	1.1895	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f1	0.75	False	1.0039	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f2	0.75	False	0.871	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.75	f3	0.75	False	0.892	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f1	0.5	True	0.6653	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f2	0.5	True	0.5807	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.5	f3	0.5	True	0.5948	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.25	f1	0.25	True	0.3354	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.25	f2	0.25	True	0.2903	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0.25	f3	0.25	True	0.2973	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	1	f1	1.0	False	1.361	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	1	f2	1.0	False	1.1858	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	1	f3	1.0	False	1.2148	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.75	f1	0.75	False	1.021	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.75	f2	0.75	False	0.8898	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.75	f3	0.75	False	0.9109	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.5	f1	0.5	True	0.6766	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.5	f2	0.5	True	0.5932	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.5	f3	0.5	True	0.6074	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.25	f1	0.25	True	0.3411	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.25	f2	0.25	True	0.2966	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0.25	f3	0.25	True	0.3036	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.001	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	1	f1	1.0	False	1.6955	possible_overexpansion	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	1	f2	1.0	False	1.4234	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	1	f3	1.0	False	1.465	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.75	f1	0.75	False	1.2719	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.75	f2	0.75	False	1.068	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.75	f3	0.75	False	1.0985	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	20	0.01	5000	0.5	f1	0.5	True	0.8429	consistent	False	FN
