scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
dispersed_control	dispersed_control_s3102	tandemx	3102	heldout	3	3	True	0.8629912501201034	27.15625	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispersed_control	dispersed_control_s3102	tidehunter	3102	heldout	3	3	True	0.6413972089067101	85.1875	NA	0.0	0.0	NA	0.0	0.83	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.01228929472446574
dispersed_control	dispersed_control_s3102	trf	3102	heldout	3	3	True	0.19496345799416304	38.125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispersed_control	dispersed_control_s3103	tandemx	3103	heldout	3	3	True	0.8691501670982689	27.453125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispersed_control	dispersed_control_s3103	tidehunter	3103	heldout	3	3	True	0.6042665829882026	93.0625	NA	0.0	0.0	NA	0.0	0.75	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.014587389938962426
dispersed_control	dispersed_control_s3103	trf	3103	heldout	3	3	True	0.19986008410342038	39.0625	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
divergent_units	divergent_units_s3101	tandemx	3101	heldout	3	3	True	1.2693528330419213	29.203125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	2.742857142857143	1.0	1.0	1.0	0.9986702868281816	0.9986563818381811	0.9986633342847794	0.0
divergent_units	divergent_units_s3101	tidehunter	3101	heldout	3	3	True	0.3431305419653654	74.609375	0.9714285714285714	0.4755244755244755	0.6384976525821596	1.0	1.0	0.0	1.0	0.029411764705882353	239.27205882352942	1.0	0.7906976744186046	1.0	0.9835769980506822	0.995679873708543	0.9895914321937143	0.19653686517216581
divergent_units	divergent_units_s3101	trf	3101	heldout	3	3	True	1.2864128751680255	38.390625	1.0	0.9722222222222222	0.9859154929577465	1.0	1.0	0.0	1.0	0.0	2.664285714285714	1.0	0.92	1.0	0.9976677805625174	0.9997628000753459	0.9987141916307465	0.02771578768865525
divergent_units	divergent_units_s3102	tandemx	3102	heldout	3	3	True	1.2530162089969963	29.609375	0.9857142857142858	0.9857142857142858	0.9857142857142858	1.0	1.0	0.0	1.0	0.014492753623188406	2.7028985507246377	1.0	0.75	1.0	0.998259537733222	0.999135972797079	0.998697562980143	0.0
