condition	method	simulation_seeds	statuses	MARE_mean	MARE_min	MARE_max	family_recovery_mean	family_recovery_min	family_recovery_max	base_union_recall_mean	base_union_recall_min	base_union_recall_max	base_union_precision_mean	base_union_precision_min	base_union_precision_max	negative_read_predicted_bp_mean	negative_read_predicted_bp_min	negative_read_predicted_bp_max	negative_read_attribution_fraction_mean	negative_read_attribution_fraction_min	negative_read_attribution_fraction_max	unassigned_abundance_bp_mean	unassigned_abundance_bp_min	unassigned_abundance_bp_max	native_catalogue_count_mean	native_catalogue_count_min	native_catalogue_count_max	workflow_wall_seconds_mean	workflow_wall_seconds_min	workflow_wall_seconds_max	cpu_user_seconds_mean	cpu_user_seconds_min	cpu_user_seconds_max	cpu_system_seconds_mean	cpu_system_seconds_min	cpu_system_seconds_max	peak_rss_mib_mean	peak_rss_mib_min	peak_rss_mib_max	throughput_bp_per_second_mean	throughput_bp_per_second_min	throughput_bp_per_second_max	shared_discovery_plus_mapping_wall_seconds_mean	shared_discovery_plus_mapping_wall_seconds_min	shared_discovery_plus_mapping_wall_seconds_max	shared_discovery_plus_mapping_peak_rss_mib_mean	shared_discovery_plus_mapping_peak_rss_mib_min	shared_discovery_plus_mapping_peak_rss_mib_max
indel	srf_k101	3	ok:3	0.04967156035697946	0.04797686951187793	0.05235372145604409	1.0	1.0	1.0	0.9512859736354045	0.9465809883178546	0.955827990225768	0.9998149039017995	0.9997305857938618	0.9998970429257459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.9104053336195648	1.8762725838460028	1.9432205830235034	1.4278056666666665	1.4163449999999997	1.440649	0.074557	0.07174399999999999	0.07802900000000002	44.713541666666664	44.046875	45.1875	261775.34617088278	257295.54553300687	266484.73377738055	NA	NA	NA	NA	NA	NA
indel	competitive_mapping	3	ok:3	0.00025081637031000776	0.00014117146126323466	0.000323803764088283	NA	NA	NA	0.9999535869134805	0.9999094947019591	0.9999860745568228	0.9996960704038874	0.9996311529601715	0.9997633284374804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2.040566250293826	2.0067700420040637	2.064400208881125	1.9830096666666668	1.95787	2.002721	0.004750666666666666	0.004527	0.00501	5.885416666666667	5.828125	5.96875	245063.007629049	242200.13050230785	249158.09461689557	2.987952625223746	2.9591682499740273	3.015713875880465	30.53125	30.359375	30.734375
divergence	tandemx	3	ok:3	0.34907450870456214	0.3485184300401692	0.35000000000000003	1.0	1.0	1.0	0.9998375568551007	0.9997841826789196	0.9999094959621275	0.9995175037098631	0.9992972837582099	0.9997076247293788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.7076065836784741	0.6252021670807153	0.8381423749960959	0.5488526666666667	0.492428	0.611982	0.041932	0.034291999999999996	0.053631	30.369791666666668	29.140625	32.21875	718159.0936506955	596557.356979271	799741.3098145078	NA	NA	NA	NA	NA	NA
divergence	srf_k151	3	no_catalogue:3	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8831825000233948	1.8075564578175545	1.9891759171150625	1.4469023333333333	1.4182059999999999	1.4783519999999999	0.07042066666666666	0.065896	0.07542399999999999	52.244791666666664	52.140625	52.421875	265945.51107158494	251360.37275434087	276616.53268839	NA	NA	NA	NA	NA	NA
divergence	srf_k101	3	ok:3	0.16235096644473443	0.05307717868104341	0.3756400259909032	0.8888888888888888	0.6666666666666666	1.0	0.8525016244314491	0.6689501531606795	0.9463659147869674	0.9999719561997902	0.999963056280063	0.9999895929815067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6666666666666665	2.0	3.0	1.876810402997459	1.8475682500284165	1.8997694998979568	1.4200193333333333	1.407718	1.4334239999999998	0.07190233333333333	0.069142	0.073858	47.260416666666664	46.078125	47.875	266445.4550613396	263189.82383223687	270625.9971680666	NA	NA	NA	NA	NA	NA
divergence	competitive_mapping	3	ok:3	0.00012733495947952122	9.530812085444282e-05	0.00015594541910331382	NA	NA	NA	0.9996751137102015	0.999624060150376	0.9997702589807853	0.9997354357100088	0.9996797371059374	0.9997911110801646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.8273975000095863	1.7886792079079896	1.8955541669856757	1.7631366666666666	1.7267139999999999	1.812277	0.007723333333333333	0.004373999999999999	0.0139	5.65625	5.578125	5.75	273801.35374161636	263775.1053007911	279535.87081989506	2.3590778197006634	2.278783292043954	2.423377166967839	30.369791666666668	29.140625	32.21875
low_abundance	tandemx	3	ok:3	0.003703703703703704	0.0	0.005555555555555556	1.0	1.0	1.0	1.0	1.0	1.0	0.9994967118534209	0.9992695398100804	0.9997076878105817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.40932466664041084	0.35938549996353686	0.4971075418870896	0.2788636666666667	0.251895	0.328054	0.04043633333333333	0.034152	0.049602999999999994	28.692708333333332	28.15625	29.765625	1247682.0950572328	1005818.5762017012	1391263.6988713508	NA	NA	NA	NA	NA	NA
low_abundance	srf_k151	3	ok:3	0.03511750054147715	0.024512670565302142	0.043112410656270306	1.0	1.0	1.0	0.9631091617933724	0.9551169590643275	0.9705653021442495	0.9997481387201675	0.9994981431295794	0.999897964389572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2.004223083378747	1.9549309581052512	2.0996462090406567	1.4893093333333334	1.4646320000000002	1.5308909999999998	0.07863566666666666	0.07578299999999999	0.082874	51.03125	49.8125	52.578125	249749.82378058994	238135.35720784767	255763.5081315647	NA	NA	NA	NA	NA	NA
low_abundance	srf_k101	3	ok:3	0.04799833947007436	0.04093567251461988	0.059697855750487326	1.0	1.0	1.0	0.9517706302794022	0.9403996101364522	0.9603313840155946	0.9998975977170257	0.9998963676874449	0.9998985183681753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.8752426944362621	1.8634330830536783	1.8961836250964552	1.396048	1.37928	1.4177639999999998	0.07620233333333333	0.07184599999999998	0.078572	42.005208333333336	40.984375	43.34375	266648.78040939925	263687.54237847927	268321.9507837819	NA	NA	NA	NA	NA	NA
low_abundance	competitive_mapping	3	ok:3	0.0003943758573388203	0.00028427550357374917	0.0005360623781676413	NA	NA	NA	1.0	1.0	1.0	0.9996427611869213	0.9995129079396006	0.9997076878105817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.3278501386133333	0.3267549159936607	0.329036874929443	0.2962356666666666	0.29159799999999997	0.30230199999999996	0.002103	0.001787	0.002532	5.213541666666667	5.171875	5.28125	1525099.4164187692	1519586.5208336222	1530198.860144159	0.59940673597157	0.555420498829335	0.6704029170796275	28.692708333333332	28.15625	29.765625
shared_fragment	tandemx	3	ok:3	0.013279857578508261	0.011656704467161985	0.014501699767400249	1.0	1.0	1.0	1.0	1.0	1.0	0.7648492274065282	0.7374134929111739	0.7869159608103361	30886.666666666668	27096.0	35717.0	0.2059111111111111	0.18064	0.23811333333333334	10528.0	8282.0	12132.0	71.33333333333333	66.0	82.0	1.594098416933169	1.509124374948442	1.717398458858952	1.4379063333333333	1.363039	1.5776879999999998	0.040722666666666664	0.039004	0.043136	31.541666666666668	30.8125	32.0625	314613.2495037879	291138.0276492169	331317.95384133403	NA	NA	NA	NA	NA	NA
shared_fragment	srf_k151	3	ok:3	0.05879375009616605	0.054410915041450465	0.06135054528300715	1.0	1.0	1.0	0.941140873015873	0.9386607142857143	0.9454861111111111	0.9998805636970884	0.9998741043045837	0.9998838314499947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2.0613330139312893	2.036533874925226	2.085382208926603	1.5603836666666666	1.5529210000000002	1.5692760000000001	0.07735633333333332	0.07606399999999999	0.07960299999999998	51.911458333333336	51.109375	53.5	242584.2206249948	239764.20143018392	245515.189389304	NA	NA	NA	NA	NA	NA
shared_fragment	srf_k101	3	ok:3	0.04654890938964168	0.03752323138764787	0.053582221508419764	1.0	1.0	1.0	0.9518121693121693	0.9479761904761905	0.9562301587301587	0.9975506349670461	0.9929127693765709	0.9999476773997761	227.33333333333334	0.0	682.0	0.0015155555555555556	0.0	0.004546666666666667	0.0	0.0	0.0	3.0	3.0	3.0	1.9675326667105157	1.9553136250469834	1.9781273750122637	1.4845846666666667	1.4792600000000002	1.4921639999999998	0.07641533333333334	0.07441600000000001	0.079178	47.286458333333336	45.796875	48.453125	254131.1750079055	252764.3094757233	255713.4536348284	NA	NA	NA	NA	NA	NA
shared_fragment	competitive_mapping	3	ok:3	0.00043664817010929756	0.0004139455478022306	0.0004645535010458757	NA	NA	NA	1.0	1.0	1.0	0.9031860608189449	0.837550165765137	0.9704625101089844	11165.666666666666	3026.0	19505.0	0.07443777777777778	0.020173333333333335	0.13003333333333333	11008.0	3026.0	19505.0	71.33333333333333	66.0	82.0	19.802473291677114	6.24318700004369	27.313001499976963	19.387057333333335	6.032749	26.748251	0.066907	0.019892	0.09983199999999999	77.17708333333333	16.1875	112.734375	39245.01333979757	18306.30002346764	80087.30156513027	21.19590880535543	7.772944458061829	28.64640341605991	82.40625	31.875	112.734375
