seed	condition_id	coverage	error_model	method	family_id	period	unit_substitution_rate	truth_copies	estimated_copy_number	signed_relative_error	absolute_relative_error	sampling_oracle_copy_estimate	estimator_minus_sampling_oracle	interval_low	interval_high	interval_contains_truth	interval_relative_width	normalization_method	kmer_survival_probability	control_mean_depth	control_zero_fraction
6301	condition_001	1	error_free	baseline_total_bases	f046	421	0.02	80.0	35.9743	-0.55032125	0.55032125	54.39342361880204	-0.2302390452350255	29.9786	41.97	False	0.14989249999999998	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f047	421	0	80.0	119.9143	0.49892875	0.49892875	120.06619568569917	-0.0018986960712396694	117.9157	120.9136	False	0.037473750000000014	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f048	421	0.02	80.0	31.9771	-0.60028625	0.60028625	50.25386476074693	-0.2284595595093366	26.9807	36.9736	False	0.12491124999999999	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f049	421	0	200.0	317.7729	0.5888645	0.5888645	318.44221123662425	-0.003346556183121265	315.7743	319.7714	False	0.01998550000000023	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f050	421	0.02	200.0	109.9214	-0.450393	0.450393	166.29443440099803	-0.2818651720049901	101.9271	118.915	False	0.08493950000000006	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f051	421	0	200.0	41.97	-0.79015	0.79015	41.599718203138615	0.0018514089843069215	40.9707	41.97	False	0.0049964999999999905	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f052	421	0.02	200.0	156.8879	-0.2155605	0.2155605	234.79653798096953	-0.38954318990484765	140.8993	172.8764	False	0.1598854999999999	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f053	421	0	200.0	229.8357	0.14917850000000002	0.14917850000000002	230.6356167205506	-0.003999583602752921	228.8364	231.8343	False	0.014989500000000077	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	f054	421	0.02	200.0	176.8736	-0.11563199999999994	0.11563199999999994	273.343806246345	-0.48235103123172507	166.8807	188.865	False	0.10992150000000009	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
6301	condition_001	1	error_free	baseline_total_bases	megabase_171	171	0.01	6000.0	3887.2214	-0.3521297666666667	0.3521297666666667	4836.198056389527	-0.15816277606492113	3856.2436	3928.1921	False	0.011991416666666737	total_read_bases_divided_by_genome_size	1.00000000	NA	NA
