seed	condition_id	coverage	error_model	method	total_error_rate_supplied	exit_code	runtime_seconds	peak_rss_mib	cpu_user_seconds	cpu_system_seconds	timed_out	status
6303	condition_003	1	iid_high_indel	baseline_total_bases	NA	0	0.4374094158411026	50.03125	0.396207	0.019995	False	ok
6303	condition_003	1	iid_high_indel	oracle_error_survival	0.02	0	1.125212750164792	51.71875	1.075691	0.020713	False	ok
6303	condition_003	1	iid_high_indel	empirical_controls	NA	0	0.5311468329746276	53.515625	0.491069	0.020329	False	ok
6303	condition_003	1	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	1.167514625005424	51.4375	1.116597	0.021370999999999998	False	ok
6303	condition_004	5	error_free	baseline_total_bases	NA	0	1.7142785000614822	76.140625	1.658733	0.029296	False	ok
6303	condition_004	5	error_free	oracle_error_survival	0.0	0	4.6699497499503195	63.6875	4.581694	0.033207	False	ok
6303	condition_004	5	error_free	empirical_controls	NA	0	1.6716902090702206	79.5625	1.611205	0.030343	False	ok
6303	condition_004	5	error_free	empirical_controls_plus_oracle_error	0.0	0	4.760073374956846	72.28125	4.681451	0.032959999999999996	False	ok
6303	condition_005	5	iid_low_indel	baseline_total_bases	NA	0	1.7117113329004496	75.59375	1.596337	0.036885	False	ok
6303	condition_005	5	iid_low_indel	oracle_error_survival	0.003	0	4.6401157500222325	82.984375	4.564569	0.033881	False	ok
6303	condition_005	5	iid_low_indel	empirical_controls	NA	0	1.7708560000173748	72.296875	1.70794	0.029741999999999998	False	ok
6303	condition_005	5	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	5.048904082970694	83.703125	4.9731499999999995	0.033735999999999995	False	ok
6303	condition_006	5	iid_high_indel	baseline_total_bases	NA	0	1.6589838329236954	78.09375	1.59515	0.030063999999999997	False	ok
6303	condition_006	5	iid_high_indel	oracle_error_survival	0.02	0	4.88406145805493	74.78125	4.791365	0.033866	False	ok
6303	condition_006	5	iid_high_indel	empirical_controls	NA	0	1.8452323339879513	74.546875	1.775359	0.030454	False	ok
6303	condition_006	5	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	4.954259959049523	69.21875	4.890302	0.032871	False	ok
6303	condition_007	20	error_free	baseline_total_bases	NA	0	5.098490749951452	97.515625	4.978195	0.059268999999999995	False	ok
6303	condition_007	20	error_free	oracle_error_survival	0.0	0	18.733970999950543	91.921875	18.571679	0.07364	False	ok
6303	condition_007	20	error_free	empirical_controls	NA	0	6.451134457951412	85.78125	6.337148	0.062565	False	ok
6303	condition_007	20	error_free	empirical_controls_plus_oracle_error	0.0	0	19.009247541893274	91.65625	18.863205	0.07720099999999999	False	ok
6303	condition_008	20	iid_low_indel	baseline_total_bases	NA	0	5.219914915971458	105.40625	5.088589	0.064673	False	ok
6303	condition_008	20	iid_low_indel	oracle_error_survival	0.003	0	17.996735209133476	98.09375	17.803208	0.082893	False	ok
6303	condition_008	20	iid_low_indel	empirical_controls	NA	0	6.7065128749236465	98.015625	6.579963	0.062108	False	ok
6303	condition_008	20	iid_low_indel	empirical_controls_plus_oracle_error	0.003	0	18.90153587493114	89.546875	18.754727	0.077723	False	ok
6303	condition_009	20	iid_high_indel	baseline_total_bases	NA	0	5.291088624857366	96.4375	5.1920209999999996	0.059611	False	ok
6303	condition_009	20	iid_high_indel	oracle_error_survival	0.02	0	18.223828708054498	80.734375	18.035544	0.082407	False	ok
6303	condition_009	20	iid_high_indel	empirical_controls	NA	0	7.340111166937277	89.65625	7.199835	0.067005	False	ok
6303	condition_009	20	iid_high_indel	empirical_controls_plus_oracle_error	0.02	0	18.75883079203777	81.453125	18.613104	0.074378	False	ok
