seed	coverage	substitution_rate	family_id	truth_copies	estimate	signed_relative_error	absolute_relative_error	sampling_oracle_copy_estimate	estimator_minus_sampling_oracle	interval_available	interval_contains_truth	interval_relative_width	interval_status
4103	1	0.01	f2	80	93.65471535264093	0.17068394190801167	0.17068394190801167	115.03555555555555	-0.26726050253643263	False	NA	NA	insufficient_effective_reads
4103	1	0.01	f3	200	188.54425659883793	-0.05727871700581034	0.05727871700581034	233.72022684085508	-0.22587985121008572	False	NA	NA	insufficient_effective_reads
4103	5	0	f1	20	20.83145168200623	0.041572584100311435	0.041572584100311435	21.207372930224896	-0.018796062410933345	False	NA	NA	insufficient_effective_reads
4103	5	0	f2	80	129.21541996839545	0.6151927496049432	0.6151927496049432	129.3690704986923	-0.0019206316287107227	True	False	1.1814403395279165	approximate_95pct_read_cluster_normal
4103	5	0	f3	200	189.8920917918792	-0.05053954104060395	0.05053954104060395	189.93102424235192	-0.00019466225236357105	True	True	0.31844082374236876	approximate_95pct_read_cluster_normal
4103	5	0.001	f1	20	20.208978264156514	0.010448913207825683	0.010448913207825683	21.207372930224896	-0.0499197333034191	False	NA	NA	insufficient_effective_reads
4103	5	0.001	f2	80	126.70118128631687	0.5837647660789609	0.5837647660789609	129.3690704986923	-0.03334861515469303	True	False	1.1589646099491955	approximate_95pct_read_cluster_normal
4103	5	0.001	f3	200	186.01526266441513	-0.06992368667792434	0.06992368667792434	189.93102424235192	-0.01957880788968396	True	True	0.31192450732604526	approximate_95pct_read_cluster_normal
4103	5	0.01	f1	20	16.582823591920846	-0.1708588204039577	0.1708588204039577	21.207372930224896	-0.2312274669152025	False	NA	NA	insufficient_effective_reads
4103	5	0.01	f2	80	103.15780327221744	0.28947254090271796	0.28947254090271796	129.3690704986923	-0.32764084033093593	True	True	0.9471490311206043	approximate_95pct_read_cluster_normal
4103	5	0.01	f3	200	154.2547552076998	-0.22872622396150105	0.22872622396150105	189.93102424235192	-0.17838134517326068	True	False	0.25894567466306884	approximate_95pct_read_cluster_normal
4103	20	0	f1	20	23.30076091498393	0.16503804574919645	0.16503804574919645	23.666804926270697	-0.01830220056433838	True	True	0.8978336915782184	approximate_95pct_read_cluster_normal
4103	20	0	f2	80	99.07275285278416	0.23840941065980203	0.23840941065980203	99.19017014899057	-0.0014677162025801493	True	True	0.5279180480686148	approximate_95pct_read_cluster_normal
4103	20	0	f3	200	186.57454919043363	-0.06712725404783186	0.06712725404783186	186.61011637761254	-0.00017783593589456358	True	True	0.15839809492628404	approximate_95pct_read_cluster_normal
4103	20	0.001	f1	20	22.69557842540782	0.134778921270391	0.134778921270391	23.666804926270697	-0.04856132504314381	True	True	0.876435447525903	approximate_95pct_read_cluster_normal
4103	20	0.001	f2	80	97.04080154406702	0.2130100193008378	0.2130100193008378	99.19017014899057	-0.026867107561544402	True	True	0.5172092394601624	approximate_95pct_read_cluster_normal
4103	20	0.001	f3	200	182.69032335550233	-0.08654838322248835	0.08654838322248835	186.61011637761254	-0.019598965110551064	True	False	0.15510278132382724	approximate_95pct_read_cluster_normal
4103	20	0.01	f1	20	18.799355921089244	-0.060032203945537786	0.060032203945537786	23.666804926270697	-0.24337245025907261	True	True	0.7263294028884889	approximate_95pct_read_cluster_normal
4103	20	0.01	f2	80	79.28516572977577	-0.008935428377802878	0.008935428377802878	99.19017014899057	-0.24881255524018506	True	True	0.4233015291201568	approximate_95pct_read_cluster_normal
4103	20	0.01	f3	200	151.04506137321837	-0.24477469313390812	0.24477469313390812	186.61011637761254	-0.17782527502197085	True	False	0.12830695428435918	approximate_95pct_read_cluster_normal
