panel	statistic	x	y	method	coverage	error	divergence	n	seed	status	family_id	condition_id
F	absolute_error_vs_source_oracle_percent	1.3159752933842445e-05	0.304882962367401	NA	NA	NA	0	NA	6301	NA	f003	condition_007
F	absolute_error_vs_source_oracle_percent	1.5183090745201494e-05	0.20813499939931643	NA	NA	NA	0	NA	6301	NA	f005	condition_007
F	absolute_error_vs_source_oracle_percent	0.00025399736444084095	0.15371052203288826	NA	NA	NA	0	NA	6301	NA	f007	condition_007
F	absolute_error_vs_source_oracle_percent	1.1605063102880162e-06	0.02284874245583879	NA	NA	NA	0	NA	6301	NA	f009	condition_007
F	absolute_error_vs_source_oracle_percent	0.0002587945774859945	0.08924041988091602	NA	NA	NA	0	NA	6301	NA	f011	condition_007
F	absolute_error_vs_source_oracle_percent	0.0001762008140215243	0.06292971414973181	NA	NA	NA	0	NA	6301	NA	f013	condition_007
F	absolute_error_vs_source_oracle_percent	2.3703277149511592e-05	0.02141915456026311	NA	NA	NA	0	NA	6301	NA	f015	condition_007
F	absolute_error_vs_source_oracle_percent	2.2454732073740047e-07	0.01691448731703815	NA	NA	NA	0	NA	6301	NA	f017	condition_007
F	absolute_error_vs_source_oracle_percent	0.0005684179832986056	0.253196304984904	NA	NA	NA	0	NA	6301	NA	f019	condition_007
F	absolute_error_vs_source_oracle_percent	0.00011651141080643718	0.09612644978208351	NA	NA	NA	0	NA	6301	NA	f021	condition_007
F	absolute_error_vs_source_oracle_percent	7.852106838119547e-05	0.06709060695140323	NA	NA	NA	0	NA	6301	NA	f023	condition_007
F	absolute_error_vs_source_oracle_percent	0.00011372110925078616	0.07085948057630631	NA	NA	NA	0	NA	6301	NA	f025	condition_007
F	absolute_error_vs_source_oracle_percent	2.904810780116453e-05	0.019308992176316764	NA	NA	NA	0	NA	6301	NA	f027	condition_007
F	absolute_error_vs_source_oracle_percent	3.467580531157921e-06	0.015655850464462162	NA	NA	NA	0	NA	6301	NA	f029	condition_007
F	absolute_error_vs_source_oracle_percent	0.0001346644166481273	0.059440877109594226	NA	NA	NA	0	NA	6301	NA	f031	condition_007
F	absolute_error_vs_source_oracle_percent	2.2525394745898097e-05	0.014123713154575055	NA	NA	NA	0	NA	6301	NA	f033	condition_007
F	absolute_error_vs_source_oracle_percent	3.547170537400641e-05	0.01762999188919423	NA	NA	NA	0	NA	6301	NA	f035	condition_007
F	absolute_error_vs_source_oracle_percent	0.0002309108963354867	0.1474236132121476	NA	NA	NA	0	NA	6301	NA	f037	condition_007
F	absolute_error_vs_source_oracle_percent	0.0001065191122960091	0.04978303300130271	NA	NA	NA	0	NA	6301	NA	f039	condition_007
F	absolute_error_vs_source_oracle_percent	0.0002190261367528588	0.09687380725882377	NA	NA	NA	0	NA	6301	NA	f041	condition_007
F	absolute_error_vs_source_oracle_percent	0.00013755483959502048	0.055024366152700566	NA	NA	NA	0	NA	6301	NA	f043	condition_007
F	absolute_error_vs_source_oracle_percent	4.27529559744931e-05	0.023439411959333967	NA	NA	NA	0	NA	6301	NA	f045	condition_007
F	absolute_error_vs_source_oracle_percent	2.122880858923537e-05	0.011976517818315102	NA	NA	NA	0	NA	6301	NA	f047	condition_007
F	absolute_error_vs_source_oracle_percent	3.6957334575760115e-05	0.016696652882316698	NA	NA	NA	0	NA	6301	NA	f049	condition_007
F	absolute_error_vs_source_oracle_percent	2.1892234036702263e-05	0.009791681069884817	NA	NA	NA	0	NA	6301	NA	f051	condition_007
F	absolute_error_vs_source_oracle_percent	3.263676497312256e-08	0.0015254016971653073	NA	NA	NA	0	NA	6301	NA	f053	condition_007
F	absolute_error_vs_source_oracle_percent	0.0017524358556242764	1.2513996501857427	NA	NA	NA	0	NA	6301	NA	f001	condition_008
F	absolute_error_vs_source_oracle_percent	3.2059309451187845e-05	0.668377721587472	NA	NA	NA	0	NA	6301	NA	f003	condition_008
F	absolute_error_vs_source_oracle_percent	5.93522621699788e-05	0.6225508633463939	NA	NA	NA	0	NA	6301	NA	f005	condition_008
F	absolute_error_vs_source_oracle_percent	0.00017906713906563898	0.5054177593362041	NA	NA	NA	0	NA	6301	NA	f007	condition_008
F	absolute_error_vs_source_oracle_percent	6.971989391940658e-05	0.3505408372145524	NA	NA	NA	0	NA	6301	NA	f009	condition_008
F	absolute_error_vs_source_oracle_percent	0.0002837417793473754	0.1589153398847376	NA	NA	NA	0	NA	6301	NA	f011	condition_008
F	absolute_error_vs_source_oracle_percent	0.00013232043682233352	0.28155484968752376	NA	NA	NA	0	NA	6301	NA	f013	condition_008
F	absolute_error_vs_source_oracle_percent	5.217495189202559e-05	0.26347476089551947	NA	NA	NA	0	NA	6301	NA	f015	condition_008
F	absolute_error_vs_source_oracle_percent	1.5770498685035994e-05	0.3881014211702478	NA	NA	NA	0	NA	6301	NA	f017	condition_008
F	absolute_error_vs_source_oracle_percent	0.0004934596347057063	0.5294687893447048	NA	NA	NA	0	NA	6301	NA	f019	condition_008
F	absolute_error_vs_source_oracle_percent	8.991761399972098e-05	0.3841287715989772	NA	NA	NA	0	NA	6301	NA	f021	condition_008
F	absolute_error_vs_source_oracle_percent	9.854939093556503e-05	0.42714365614671124	NA	NA	NA	0	NA	6301	NA	f023	condition_008
F	absolute_error_vs_source_oracle_percent	8.545966994422116e-05	0.5019036065577609	NA	NA	NA	0	NA	6301	NA	f025	condition_008
F	absolute_error_vs_source_oracle_percent	1.1738465383270835e-05	0.21361940945734403	NA	NA	NA	0	NA	6301	NA	f027	condition_008
F	absolute_error_vs_source_oracle_percent	6.222902054554835e-05	0.3134693594109983	NA	NA	NA	0	NA	6301	NA	f029	condition_008
F	absolute_error_vs_source_oracle_percent	0.00014655156285377224	0.3311332607845827	NA	NA	NA	0	NA	6301	NA	f031	condition_008
F	absolute_error_vs_source_oracle_percent	7.1972878890602665e-06	0.2798390494784684	NA	NA	NA	0	NA	6301	NA	f033	condition_008
F	absolute_error_vs_source_oracle_percent	4.3840194486985395e-05	0.2945136256516747	NA	NA	NA	0	NA	6301	NA	f035	condition_008
F	absolute_error_vs_source_oracle_percent	0.00030317568733259637	0.4260867756119602	NA	NA	NA	0	NA	6301	NA	f037	condition_008
F	absolute_error_vs_source_oracle_percent	6.901823980939858e-05	0.21446217162027992	NA	NA	NA	0	NA	6301	NA	f039	condition_008
F	absolute_error_vs_source_oracle_percent	0.00017676069554564688	0.36017517538319055	NA	NA	NA	0	NA	6301	NA	f041	condition_008
F	absolute_error_vs_source_oracle_percent	0.00020251833678816555	0.2974652081937812	NA	NA	NA	0	NA	6301	NA	f043	condition_008
F	absolute_error_vs_source_oracle_percent	7.343125203984613e-05	0.26138327941128026	NA	NA	NA	0	NA	6301	NA	f045	condition_008
F	absolute_error_vs_source_oracle_percent	2.285728116557806e-05	0.23937886335135158	NA	NA	NA	0	NA	6301	NA	f047	condition_008
F	absolute_error_vs_source_oracle_percent	6.341659708825054e-05	0.2927061895157834	NA	NA	NA	0	NA	6301	NA	f049	condition_008
F	absolute_error_vs_source_oracle_percent	5.307168832915932e-06	0.22097963397675358	NA	NA	NA	0	NA	6301	NA	f051	condition_008
F	absolute_error_vs_source_oracle_percent	4.983875603034593e-06	0.31021851406804046	NA	NA	NA	0	NA	6301	NA	f053	condition_008
F	absolute_error_vs_source_oracle_percent	0.0025081488828505583	1.4454464715318593	NA	NA	NA	0	NA	6301	NA	f001	condition_009
F	absolute_error_vs_source_oracle_percent	0.00046879945805350376	1.7948476064714927	NA	NA	NA	0	NA	6301	NA	f003	condition_009
