panel	dataset	metric	x	value	read_count
A	Full library (n=407,670)	length_bp	1.79	0.0004734221306448843	1
A	Full library (n=407,670)	length_bp	1.799	0.00047587509505237077	1
A	Full library (n=407,670)	length_bp	1.804	0.00047832805945985726	1
A	Full library (n=407,670)	length_bp	1.805	0.0004807810238673437	1
A	Full library (n=407,670)	length_bp	1.817	0.0004856869526823166	2
A	Full library (n=407,670)	length_bp	1.818	0.00048813991708980303	1
A	Full library (n=407,670)	length_bp	1.82	0.0004905928814972894	1
A	Full library (n=407,670)	length_bp	1.831	0.0004930458459047759	1
A	Full library (n=407,670)	length_bp	1.839	0.0004954988103122624	1
A	Full library (n=407,670)	length_bp	1.84	0.0004979517747197488	1
A	Full library (n=407,670)	length_bp	1.842	0.0005004047391272353	1
A	Full library (n=407,670)	length_bp	1.843	0.0005028577035347217	1
A	Full library (n=407,670)	length_bp	1.848	0.0005053106679422082	1
A	Full library (n=407,670)	length_bp	1.854	0.0005077636323496946	1
A	Full library (n=407,670)	length_bp	1.855	0.0005102165967571811	1
A	Full library (n=407,670)	length_bp	1.866	0.0005126695611646675	1
A	Full library (n=407,670)	length_bp	1.869	0.000515122525572154	1
A	Full library (n=407,670)	length_bp	1.872	0.0005175754899796403	1
A	Full library (n=407,670)	length_bp	1.874	0.0005200284543871268	1
A	Full library (n=407,670)	length_bp	1.8780000000000001	0.0005224814187946133	1
A	Full library (n=407,670)	length_bp	1.8820000000000001	0.0005249343832020997	1
A	Full library (n=407,670)	length_bp	1.8840000000000001	0.0005273873476095862	1
A	Full library (n=407,670)	length_bp	1.8960000000000001	0.0005298403120170726	1
A	Full library (n=407,670)	length_bp	1.899	0.0005322932764245591	1
A	Full library (n=407,670)	length_bp	1.9020000000000001	0.0005347462408320455	1
A	Full library (n=407,670)	length_bp	1.9080000000000001	0.000537199205239532	1
A	Full library (n=407,670)	length_bp	1.9140000000000001	0.0005421051340545049	2
A	Full library (n=407,670)	length_bp	1.915	0.0005445580984619913	1
A	Full library (n=407,670)	length_bp	1.919	0.0005470110628694778	1
A	Full library (n=407,670)	length_bp	1.921	0.0005519169916844507	2
A	Full library (n=407,670)	length_bp	1.924	0.0005543699560919372	1
A	Full library (n=407,670)	length_bp	1.925	0.0005568229204994235	1
A	Full library (n=407,670)	length_bp	1.928	0.00055927588490691	1
A	Full library (n=407,670)	length_bp	1.935	0.0005617288493143964	1
A	Full library (n=407,670)	length_bp	1.941	0.0005641818137218829	1
A	Full library (n=407,670)	length_bp	1.943	0.0005666347781293693	1
A	Full library (n=407,670)	length_bp	1.945	0.0005690877425368558	1
A	Full library (n=407,670)	length_bp	1.946	0.0005715407069443422	1
A	Full library (n=407,670)	length_bp	1.951	0.0005739936713518287	1
A	Full library (n=407,670)	length_bp	1.954	0.0005764466357593151	1
A	Full library (n=407,670)	length_bp	1.963	0.0005788996001668016	1
A	Full library (n=407,670)	length_bp	1.967	0.0005813525645742881	1
A	Full library (n=407,670)	length_bp	1.968	0.0005887114577967474	3
A	Full library (n=407,670)	length_bp	1.969	0.0005936173866117202	2
A	Full library (n=407,670)	length_bp	1.972	0.0005960703510192067	1
A	Full library (n=407,670)	length_bp	1.974	0.0005985233154266931	1
A	Full library (n=407,670)	length_bp	1.976	0.0006009762798341796	1
A	Full library (n=407,670)	length_bp	1.98	0.0006058822086491525	2
A	Full library (n=407,670)	length_bp	1.987	0.000608335173056639	1
A	Full library (n=407,670)	length_bp	2.001	0.0006107881374641254	1
A	Full library (n=407,670)	length_bp	2.003	0.0006132411018716119	1
A	Full library (n=407,670)	length_bp	2.012	0.0006156940662790983	1
A	Full library (n=407,670)	length_bp	2.015	0.0006181470306865848	1
A	Full library (n=407,670)	length_bp	2.023	0.0006205999950940712	1
A	Full library (n=407,670)	length_bp	2.024	0.0006230529595015577	1
A	Full library (n=407,670)	length_bp	2.0260000000000002	0.000625505923909044	1
A	Full library (n=407,670)	length_bp	2.037	0.0006279588883165305	1
A	Full library (n=407,670)	length_bp	2.039	0.0006304118527240169	1
