run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	library_strategy	library_source	scientific_name	study_title	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
SRR15447426	SRX11746822	SAMN20604737	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 32	5806819542	132959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/026/SRR15447426/SRR15447426_1.fastq.gz	cafdd8b70499480f34785ed6f0bbad8c
SRR15447434	SRX11746814	SAMN20604730	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 25	21118371867	487421	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/034/SRR15447434/SRR15447434_1.fastq.gz	4fe240a76b58e27bc4a2c0ba80ab0c30
SRR15447438	SRX11746810	SAMN20604726	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 21	21218861351	491138	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/038/SRR15447438/SRR15447438_1.fastq.gz	2b08ba6418478702c9f72a934102c5fd
SRR15447442	SRX11746806	SAMN20604723	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 18	18463261530	451288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/042/SRR15447442/SRR15447442_1.fastq.gz	c1da27d0de84f46e021156b9086170c8
SRR15447443	SRX11746805	SAMN20604722	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 17	15281632468	390345	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/043/SRR15447443/SRR15447443_1.fastq.gz	72bdb2e7a5d8d116158b82839db792b3
SRR15447449	SRX11746799	SAMN20604716	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 11	18040036960	439678	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/049/SRR15447449/SRR15447449_1.fastq.gz	327a26d5815dcb1a08049951c638e7a2
SRR15648686	SRX11945724	SAMN21016867	PACBIO_SMRT	Sequel	FL-cDNA	TRANSCRIPTOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel sequencing: PacBio Iso-Seq of Mo17	216842433	113962	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/086/SRR15648686/SRR15648686_subreads.fastq.gz	f6d30cf9e85a6878675131d69b7fa193
SRR21509776	SRX17512268	SAMN30760528	ILLUMINA	Illumina HiSeq 2000	ChIP-Seq	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Illumina HiSeq 2000 sequencing: Mo17 INPUT ChIP-seq replicate 2	20886515840	71638944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/076/SRR21509776/SRR21509776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/076/SRR21509776/SRR21509776_2.fastq.gz	37ea782390e5a982a0782fcafe9d89c9;5531f7a335320ed6011027e8f4e32c9b
SRR21509779	SRX17512265	SAMN30760525	ILLUMINA	Illumina HiSeq 2000	ChIP-Seq	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Illumina HiSeq 2000 sequencing: Mo17 CENH3 ChIP-seq replicate 1	14458018373	50100585	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/079/SRR21509779/SRR21509779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/079/SRR21509779/SRR21509779_2.fastq.gz	d6b0c1d696a5b89337a04002d69fb6af;97f5c3318c782cc4f675902b20ccd8c1
SRR15447420	SRX11746828	SAMN20604743	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel II sequencing: Mo17_Pacbio CCS_replicate 2	30331379097	2087161	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/020/SRR15447420/SRR15447420_subreads.fastq.gz	6ac0bf92144ceef5c475bde4f1c50fc0
SRR15447428	SRX11746820	SAMN20604709	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 4	15479250221	326852	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/028/SRR15447428/SRR15447428_1.fastq.gz	e2f3d9fa74aded47ab6fff8239917b04
SRR15447432	SRX11746816	SAMN20604732	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 27	7761064858	126419	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/032/SRR15447432/SRR15447432_1.fastq.gz	9e2cc1bb494b85407e9ef8f363f57034
SRR15447433	SRX11746815	SAMN20604731	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 26	1908888288	55532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/033/SRR15447433/SRR15447433_1.fastq.gz	e7ee6ed395adb33e720b0e95dcc48a57
SRR15447448	SRX11746800	SAMN20604717	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 12	15477283009	339848	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/048/SRR15447448/SRR15447448_1.fastq.gz	eaa89b6bfcf6bca1a7e216baeede15c6
SRR15447451	SRX11746797	SAMN20604706	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 1	7451662123	112487	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/051/SRR15447451/SRR15447451_1.fastq.gz	7221fd2b0696f328f6c9e9746f62f2aa
SRR15447419	SRX11746829	SAMN20604744	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel II sequencing: Mo17_Pacbio CCS_replicate 3	5624644958	407670	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/019/SRR15447419/SRR15447419_subreads.fastq.gz	7d25a15f3faa9ce4bd2bed9789e394d8
SRR15447422	SRX11746826	SAMN20604741	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 36	10938056582	246113	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/022/SRR15447422/SRR15447422_1.fastq.gz	7169271237147f9dc140bf5ddf4c389d
SRR15447424	SRX11746824	SAMN20604739	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 34	12033513422	211764	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/024/SRR15447424/SRR15447424_1.fastq.gz	b72a9ec5a0858066d40ac382a82c3126
SRR15447429	SRX11746819	SAMN20604735	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 30	16801057724	466255	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/029/SRR15447429/SRR15447429_1.fastq.gz	b498a9e0aeed8cb83af65bedcaf475ea
SRR15447440	SRX11746808	SAMN20604725	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 20	3256533983	72701	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/040/SRR15447440/SRR15447440_1.fastq.gz	9ffa747c45590526fab08793849c166b
