panel	scenario	tool	metric	value	seed	status
E	indel_01pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4306209370096391	3102	positive
E	indel_01pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4147776809067132	3103	positive
E	indel_1pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5296420581655481	3101	positive
E	indel_1pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.43455377574370707	3102	positive
E	indel_1pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4841007377257695	3103	positive
E	indel_4pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4826433530470558	3101	positive
E	indel_4pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4513939393939394	3102	positive
E	indel_4pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.3761961722488038	3103	positive
E	low_complexity_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	1.2992700729927007	3101	negative_control
E	low_complexity_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	1.0337794773741236	3102	negative_control
E	low_complexity_control	tandemx_over_tidehunter	median_peak_rss_mib_ratio	1.2142322097378278	3103	negative_control
E	related_families	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4638255698711596	3101	positive
E	related_families	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.44508118433619864	3102	positive
E	related_families	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.48616498577708817	3103	positive
E	short_arrays	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5870376654224635	3101	positive
E	short_arrays	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5807978363759296	3102	positive
E	short_arrays	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5932669185846788	3103	positive
E	substitution_1pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5052802599512591	3101	positive
E	substitution_1pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.5121951219512195	3102	positive
E	substitution_1pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.49973656480505796	3103	positive
E	substitution_5pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.36908269495187584	3101	positive
E	substitution_5pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.47381608619393634	3102	positive
E	substitution_5pct	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4658584858980703	3103	positive
E	two_arrays	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4463775023832221	3101	positive
E	two_arrays	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.44369474174034434	3102	positive
E	two_arrays	tandemx_over_tidehunter	median_peak_rss_mib_ratio	0.4548753931768691	3103	positive
F	tandemx_failed_runs	gate	passed	1	heldout_matrix	PASS  0 <= 0
F	all_comparator_failed_runs	gate	passed	0	heldout_matrix	FAIL  9 <= 0
F	tandemx_deterministic_groups_fraction	gate	passed	1	heldout_matrix	PASS  1 >= 1
F	minimum_positive_array_recall	gate	passed	1	heldout_matrix	PASS  0.986 >= 0.95
F	minimum_positive_array_precision	gate	passed	1	heldout_matrix	PASS  0.986 >= 0.95
F	maximum_negative_read_call_rate	gate	passed	1	heldout_matrix	PASS  0 <= 0
F	minimum_related_family_cyclic_monomer_recall	gate	passed	1	heldout_matrix	PASS  1 >= 1
F	paired_tidehunter_groups_fraction	gate	passed	1	heldout_matrix	PASS  1 >= 1
F	worst_tidehunter_array_recall_difference	gate	passed	1	heldout_matrix	PASS  0 >= -0.02
F	worst_tidehunter_array_precision_difference	gate	passed	1	heldout_matrix	PASS  0 >= -0.02
F	tidehunter_runtime_geometric_mean_ratio	gate	passed	0	heldout_matrix	FAIL  2.46 <= 2
F	tidehunter_peak_rss_geometric_mean_ratio	gate	passed	1	heldout_matrix	PASS  0.455 <= 1.25
